name,Type,Plot Summary,Genre,Released,Status,Other name
Arifureta Shokugyou de Sekai Saikyou, ONA," Initially screened at the Arifureta Shokugyou de Sekai Saikyou -Live & Act- event on January 19, 2020. It was later released via streaming platforms on March 19, 2020.", School, 2020, Completed,
Arion, Movie," In Thrace, Arion is taken from his mother Demeter by the god Hades. In the Underworld, Arion is trained to be a warrior. His training is driven by revenge"," Action, Adventure, Drama, Fantasy, Magic, Seinen", 1986, Completed, ネオ・ヒロイック・ファンタジア　アリオン
Arisa☆Good Luck, OVA," Arisa, a 16-year-old high school girl, accidentally has an extreme fighting suit that her brother invented implanted in her body. It's a slightly embarrassing suit that makes her emit an H voice when she transforms. Moreover, from that day on, Arisa is forced against her will to fight a secret society of evil.""Oh, I want to tell my feelings to Matsumoto-senpai, the man of my dreams, but only when I do so, I transform into an H battle suit."""," Action, Comedy", 1999, Completed, ありさ☆Good Luck
Ark, Movie," Ark takes place on a dying alien world in which a global war between two technologically advanced human civilizations has reduced the planet to a wasteland. The only way to escape the world is by activating the Ark, an ancient giant robot capable of supporting a human city as well as traveling through space"," Action, Fantasy, Mecha, Military, Sci-Fi, Supernatural", 2005, Completed,
Ark (2004), Movie, Summary," Action, Fantasy, Mecha, Military, Sci-Fi, Supernatural", 2005, Completed,
Arknights, Fall 2022 Anime," In the land of Terra, natural disasters of unknown causes have been occurring irregularly in many areas. Therefore, the majority of the people, in order to escape those natural disasters, came to live in mobile cities developed over the years. The Originium left behind at the site of such Catastrophes, has led to the rapid progress of civilization due to their immense energy. But it also brought something else with it — an incurable disease called Oripathy.Because the bodies of those with Oripathy gradually crystalize and become a new source of infection at the time of death, in many countries, the Infected are subject to persecution under regimes of segregation and forced labor. Those who were oppressed by the governments are starting to rebel. Rhodes Island, a pharmaceutical company researching a cure for Oripathy, takes up their arms and starts a conquest trying to save all the people from the disease."," Action, Fantasy", 2022, Completed, Arknights Animation
Armed Blue Gunvolt, OVA," In the near future, there are people with special power called Sevens. It seems like the country has maintained peace by a company called Sumeragi Group, but they are the one who captured the people with the special power by force and did inhumane experiments. Gunvolt, the main character who has the power of Sevens, used to be in Feather, a resistant group who fought against the Sumeragi Group. The story begins with meeting the heroine, Sian."," Action, Sci-Fi, Super Power", 2017, Completed," Azure Striker Gunvolt, 蒼き雷霆〈アームドブルー〉 ガンヴォルト"
Armitage III, OVA," The year is 2046. Detective Ross Sylibus is transferred to Mars when a country singer on her flight is murdered. Making matters more complicated is that the singer is a ""Third""—a robot that looks and feels like a human. Sylibus is partnered with Armitage—a beautiful female cop with a bad attitude. As they investigate the murder of the singer and other women on Mars, they uncover a conspiracy that can have them both killed by the Martian government."," Action, Adventure, Mecha, Police, Romance, Sci-Fi", 1995, Completed, アミテージ・ザ・サード
Armitage III (Dub), OVA," The year is 2046. Detective Ross Sylibus is transferred to Mars when a country singer on her flight is murdered. Making matters more complicated is that the singer is a ""Third""—a robot that looks and feels like a human. Sylibus is partnered with Armitage—a beautiful female cop with a bad attitude. As they investigate the murder of the singer and other women on Mars, they uncover a conspiracy that can have them both killed by the Martian government."," Action, Adventure, Mecha, Police, Romance, Sci-Fi", 1995, Completed, アミテージ・ザ・サード
Armitage III Dual-Matrix (Dub), Movie," A few years after they first met, Naomi Armitage and Ross Syllabus have started a family. Despite their normal lives, they must keep their identities a secret because many people believe that Robots do not deserve equal status with humans. Ross has an opportunity to abolish these ideas on Earth through a vote, but organizations in the shadows are working so that it doesn't happen."," Action, Adventure, Mecha, Sci-Fi", 2002, Completed, Armitage
Armitage III, Movie, 2179," Action, Adventure, Mecha, Police, Romance, Sci-Fi", 1995, Completed," Armitage III Poly-Matrix, Armitage III the Movie"
Armitage, Movie, Naomi Armitage and Ross Sylibus have changed their names and live with their daughter Yoko as a happy and normal family on Mars — until an android riot breaks out at an anti-matter plant on Earth.Armitage learns the riot is actually part of a conspiracy to suppress evidence of illegal research and development of more Third Types — androids almost indistinguishable from humans. She decides to go to Earth to find out who is behind this heinous act and encounters the most dreaded enemy yet — replicas of herself!," Action, Adventure, Mecha, Sci-Fi", 2002, Completed, Armitage
Armored Trooper Votoms Case Irvine, Movie," Armored Trooper Votoms Case;Irvine will follow the story of Irvine (Irvin) Lester, a repairer of the tank-like robotic Armored Trooper (AT) mecha in the VOTOMS story world."," Action, Drama, Mecha, Military, Sci-Fi", 2010, Completed, 装甲騎兵ボトムズ Case; IRVINE
Armored Trooper Votoms Finder, Movie," Votoms Finder will center around Aki Tesuno, a guard for scrap salvagers and a pilot of a robotic mecha called an At or Altro (as opposed to VOTOMS' trademark Armored Trooper mecha)."," Action, Drama, Mecha, Military, Sci-Fi", 2010, Completed, ボトムズファインダー
Armored Trooper Votoms Pailsen Files, Movie, Alternative release of Armored Trooper Votoms," Mecha, Military, Sci-Fi, Seinen", 2009, Completed, 装甲騎兵ボトムズ ペールゼン・ファイルズ
Armored Trooper Votoms, Movie," Chirico finds his beloved Fiana held hostage by Bararant in an experimental facility near Koba City, and he and his comrades have to fight their way in to save her."," Action, Drama, Mecha, Military, Sci-Fi", 1986, Completed, 装甲騎兵ボトムズ　ビッグバトル
Armored Trooper Votoms, Movie," Chirico Cuvie has been assigned to a new unit, the Red Shoulder division. His selection is not an accident, as he has an ability that possibly makes him the ultimate soldier. The Red Shoulder unit is callous and merciless in their training, and will test Chirico's ability to the limit."," Drama, Mecha, Military, Sci-Fi", 1988, Completed, Armored Trooper Votoms
Armored Trooper Votoms, Movie," Chirico Cuvie is reunited with others from the Red Shoulder unit as they pursue their revenge against Yoran Pailsen. Unknown to them, Yoran and his group have created the Perfect Soldier, Ypsilon."," Action, Drama, Mecha, Military, Sci-Fi", 1985, Completed, 装甲騎兵ボトムズ　ザ・ラストレッドショルダー
ARP Backstage Pass, Winter 2020 Anime," ARP (nominally an abbreviation for Artists Republic Production) is a dance vocal group which holds live performances — featuring singing, dancing, and interactive talking with the audience — in real-time using the latest augmented-reality technology. The ikemen (handsome) group members include their de facto leader Shinji, the talented dancer León, and the members of the Rebel Cross duo (designer Daiya and composer/writer Rage).", Music, 2020, Completed,
Arrow Emblem Grand Prix no Taka, TV Series," An anime with much of wheel actions ... Takaya Todoroki, a young man who wants to become a famous driver and built a car to be able to participate in a race with a big prize. In the race, because of the poor quality of building, Takaya has a serious accident in which he wrecked his car but he doesn`t hurt himself. That`s when a mysterious driver contact Takaya to enter onto some famous racing team...This mysterious man is a former driver .. a very famous one who appears every now and then to help Takaya fight his own destiny, to set him on the right track and most of all prove himself, unlike him.", Drama, 1977, Completed, Arrow Emblem
Ars no Kyojuu, Winter 2023 Anime," The story takes place in an age of swords, heroes, and myths. Giant beasts created the land, but then humans stole that land. This angered the beasts, who then started eating humans. In order to fight back, humans called upon the gods. The Kyojuu beasts started spreading around the world, causing great damage, but humans fought back by hunting the Kyojuu. Humanity also prospered by to using the dissected parts of the beasts.Jiiro is ""a man who has escaped death,"" and he hunts Kyojuu to earn a living. He meets ""Twenty and Second Kuumi,"" who is being chased by someone. Jiiro and his friends then start to uncover the secrets of this world."," Action, Adventure, Fantasy", 2023, Completed, アルスの巨獣 ; Giant Beasts of Ars
