name,Type,Plot Summary,Genre,Released,Status,Other name
Hana yori Dango (Movie), Movie," Set in an alternative timeline to the TV series and manga, the movie features a classic Cinderella story told through the medium of 80's dance. Tsukushi Makino is a trainee dancer in a New York Performance group, struggling to become the star of the show with the help of Rui Hanazawa and Tsukasa Doumyouji."," Drama, Performing Arts, Romance, Shoujo", 1997, Completed," Hana Yori Dango The Movie, 花より男子"
Hanabi-chan wa Okuregachi, Summer 2022 Anime,, Comedy, 2022, Completed, ハナビちゃんは遅れがち
Hanada Shounen-shi, TV Series," Ichiro Hanada is a hyperactive little boy who lives with his parents, sister, and grandfather in a rural town. He is always up to some kind of mischief, often teasing his sister or making rude comments to others. Consequently, his mother constantly scolds him, and even the neighbours express disturbance from time to time on how rowdy he can be.One day, after pulling a terrible prank, Ichiro sprints onto the streets as his mother chases him. He steals a nearby bicycle and takes on a dangerous route, eventually being hit by a truck. Miraculously, he survives the crash, requiring nine stitches to the back of his head and balding for the surgery. However, the near-death experience gains him the ability to see ghosts—the last thing he needs in his life.Since Ichiro is the only one who can communicate with them, several ghosts of people who have recently died come to him, seeking help to fulfill their last wishes before achieving enlightenment. Each adventure with a ghost leaves the young and curious boy with a different lesson that gradually makes him wiser."," Comedy, Drama, Seinen, Slice of Life, Supernatural", 2002, Completed, 花田少年史
Hanako, ONA," Hanako is a short, independent anime made by Mitsuru Sasaki. He did all of the animation and even the voice acting himself.", School, 0, Completed, 花子
Hanamaru Kindergarten, TV Series," Anzu goes to a preschool with her friends, the shy Koume and the eccentric Hiiragi. Together they try to attract attention from their caretaker Tsuchida. However, he is clearly more interested in the pretty Yamamoto who supervises the class next door."," Comedy, Slice of Life", 2010, Completed, はなまる幼稚園
Hanamonogatari, TV Series," The bee apparition is now gone, and summer vacation where the phoenix apparition averted harm is over-- Around Koyomi Araragi and the girls who started a new trimester, apparitions, or perhaps threats even worse, were creeping in ever closer. Tsubasa Hanekawa, Mayoi Hachikuji, Suruga Kanbaru, Nadeko Sengoku, Shinobu Oshino, and Hitagi Senjyogahara. Their soliloquies, confessions – and farewells."," Comedy, Mystery, Supernatural", 2014, Completed, 花物語
Hanappe Bazooka, OVA," Lecherous high school boy Hanappe is visited by two demons who step from his TV and immediately fall in lust with his mother and sister. The demons turn Hanappe's home into a meeting ground for their demonic friends and grant Hanappe the power of the Hanappe Bazooka. Now his index finger is capable of both a deadly blast and the ability to drive women in a lustful frenzy, but Hanappe isn't very good at controlling it and winds up in serious trouble."," Action, Comedy, Ecchi, School", 1992, Completed, 花平バズーカ
Hanare Toride no Yonna, Movie," Yonna and Stan, brother and sister, live in isolation because of their special powers. There are enigmatic people who plot to use their power, in conflict with the king`s government, which is also planning to draw them onto their side. Intrigue surrounds Yonna, and now a new agent comes to see her."," Adventure, Fantasy", 2006, Completed," Yonna in the Solitary Fortress, はなれ砦のヨナ"
Hanasakeru Seishounen, TV Series," Kajika Burnsworth is talked into a “Marriage Game” by her father, the mighty boss of the Burnsworth Company. She will meet three men he has chosen and decide which one to marry. If she does, he will tell her what her true destiny is."," Drama, Romance, Shoujo", 2009, Completed, 花咲ける青少年
Hanasaki Kuhan no Romantan, Movie," After an invasion by the Vivolian army, the Sprite Himawari and her childhood friend Tsubaki flee their homeland of Floria for the town of Romton. There, they live out their lives in peace... for a time. One day, Himawari's friend and fellow Sprite Ajisai is kidnapped by mysterious strangers. Now Himawari and detective Tsubaki set out to rescue her, but find the dreaded Vivolians standing in their way! A 2D animated special episode aired on the Monster Strike anime channel, promoting the Monster Strike game debut of the Flower 4 series. Despite this, the storyline is standalone and unrelated to previous Monster Strike anime installments."," Action, Adventure, Drama, Fantasy", 2018, Completed," The Sprites Of Floria, Hanasaki Ku-han No Romantan, Hanasaki Kurodino Romantan, 花咲ク絆ノ浪漫譚"
Hanasaku Iroha, TV Series," Ohana Matsumae is sent to live with her grandmother, who she has never met nor spoken to, at her Taisho-era (1920s) hot springs inn. It’s not a lifestyle that Ohana would have chosen, but she decidesnot to be discouraged and to make the most of her new circumstances."," Comedy, Drama, Seinen, Slice of Life", 2011, Completed, Hanasaku Iroha
Hanasaku Iroha, Movie," Although initially perplexed at the sudden turn of events which led her to live in the hot spring inn Kissuisou, now Ohana is perfectly accustomed to the new lifestyle; she has started to even notice a positive change in herself lately. One day from a neighboring inn Fukuya comes Wakura Yuina on a mission to train herself as an okami, where Ohana is told by her grandmother to assist this naive young girl.Upon tidying up the storeroom Ohana discovers a box amid piles of items scattered around, which is packed with business logs Denroku has made over the years. She picks up a log and finds in it her mother's name, together with the fact that her mother once said she wanted to shine, and there she realizes the minds of both mother and daughter work the same."," Comedy, Drama, Slice of Life", 2013, Completed, Hanasaku Iroha the Movie
Hanaukyo Maid Team, TV Series," After losing his mother, 12-year-old Taro journeys to Tokyo to live with his grandfather. But he gets the biggest surprise when he discovers that his grandfather’s home is a huge mansion with hundreds of beautiful maids ready to serve him. Making matters worse (at least for Taro, but not for our viewing) is that not only does he inherit the Hanaukyo mansion, he gets the services of all of the maids 24 hours a day, 7 days a week."," Comedy, Ecchi, Harem, Romance", 2001, Completed," Hanaukyou Maid-tai, 花右京メイド隊"
Hanaukyo Maid Team OVA, TV Series," After losing his mother, 12-year-old Taro journeys to Tokyo to live with his grandfather. But he gets the biggest surprise when he discovers that his grandfather’s home is a huge mansion with hundreds of beautiful maids ready to serve him. Making matters worse (at least for Taro, but not for our viewing) is that not only does he inherit the Hanaukyo mansion, he gets the services of all of the maids 24 hours a day, 7 days a week."," Comedy, Ecchi, Harem, Romance", 2001, Completed," Hanaukyo Maids, Maid in Hanaukyo, 花右京メイド隊"
Hanaukyo Maid Team, TV Series," After losing his mother, 12-year-old Taro journeys to Tokyo to live with his grandfather. But he gets the biggest surprise when he discovers that his grandfather’s home is a huge mansion with hundreds of beautiful maids ready to serve him. Making matters worse (at least for Taro, but not for our viewing) is that not only does he inherit the Hanaukyo mansion, he gets the services of all of the maids 24 hours a day, 7 days a week."," Comedy, Ecchi, Harem, Romance", 2004, Completed, Hanaukyou Maid-tai
Hanaukyou Maid-tai, TV Series," After his mother passes away, Taro Hanaukyo is invited to his grandfather's home. There, he meets a beautiful maid named Mariel and finds out that his grandfather has retired to a remote island and has given him ownership of his estate. Taro also discovers that not only is the estate a colossal mansion, it has hundreds of gorgeous maids ready to serve him 24 hours a day, seven days a week."," Comedy, Ecchi, Harem, Romance", 2004, Completed, Hanaukyo Maid Team
"Hanayaka Nari, Waga Ichizoku", TV Series," Set during Japan’s Taish? era (1912-1926), a girl named Haru Asagi works as a maid of the Miyanomori family, which is headed by one of Japan’s most powerful magnates. However, the family head suddenly announces that he is retiring, so one of his six sons must assume control of the family."," Drama, Historical, Romance, Shoujo", 2012, Completed," 華ヤカ哉, 我ガ一族 キネトグラフ"
Hanayamata (Dub), Summer 2014 Anime," Naru Sekiya is an average 14-year-old girl with average intelligence, average athleticism, and average talents. She once had hopes that starting high school would change all that. Unfortunately, the reality could not be further from the truth and she remains a wallflower. Why can't real life be like fairy tales where a handsome prince lifts a poor girl from obscurity and transforms her into a dazzling princess?Her average student life changes when she meets a blonde girl dancing on top of a gate to a shrine. Naru assumes the girl is a fairy, but it turns out she's just a regular girl, too. But it also just so happens that she's a transfer student named Hana from America who fell in love with yosakoi, a type of dance, and came to Japan with the intention to start her own club! Excited that she's classmates with the girl she met the night before, Hana tries to recruit Naru to become the first member of the brand new yosakoi club. Too bad the thought of dancing in front of everyone terrifies her! Can Hana convince Naru to join the club? Will Naru fall in love with yosakoi? Find out in Hanayamata!"," Comedy, School, Seinen, Slice of Life", 2014, Completed,"  Hana Yamata, ハナヤマタ"
Hanbun no Tsuki ga Noboru Sora, TV Series," During the winter, Yuichi was hospitalized due to hepatitis. Randomly he would try to escape from the hospital but would get beat up by the nurse. One day, he happened to meet Rika, a girl of his age, in the next building. He was fascinated by her beauty, but she was very selfish girl. Although she led him by the nose, he began to be attracted by her. However, when Rika told him about her illness, he knew why she acted so selfish; she didn’t have long to live."," Comedy, Drama, Romance", 2006, Completed," Looking Up At The Half-Moon, 半分の月がのぼる空"
Hand Maid May, TV Series," Saotome Kazuya is a computer whiz. One day his friend Nanbara, threatens him with a computer virus. Trying to stop the virus, Kazuya ends up making a special order. May is a cyberdoll that arrives at his door a few minutes later and she is 1/6th the size of a normal person, which makes for many awkward situations. Not to mention the fact Kazuya can’t even afford to keep May. Cyberdyne is not satisfied with Kazuya’s non-payments and will do anything to retrieve CBD May."," Comedy, Ecchi, Harem, Romance, Sci-Fi", 2000, Completed, HAND MAID メイ
Hand Maid May (Dub),," Saotome Kazuya is a computer whiz. One day his friend Nanbara, threatens him with a computer virus. Trying to stop the virus, Kazuya ends up making a special order. May is a cyberdoll that arrives at his door a few minutes later and she is 1/6th the size of a normal person, which makes for many awkward situations. Not to mention the fact Kazuya can't even afford to keep May. Cyberdyne is not satisfied with Kazuya's non-payments and will do anything to retrieve CBD May."," Comedy, Ecchi, Harem, Romance, Sci-Fi", 2000, Completed, HAND MAID メイ
Hand Shakers, Winter 2017 Anime," The anime takes place in Osaka in ""AD20XX,"" and revolves around the Hand Shakers—partners who can summon ""Nimrodes,"" weapons born from their deep psyche by joining hands. In order to grant the pair's wish, the Hand Shakers compete with and fight other Hand Shaker pairs. The top pair will then meet and challenge ""God.""""They, the receivers of the Revelation of Babel. They, the challengers to God.They, who inevitably throw themselves into battle with their partners. What does God want from them?And did they want powers exceeding that of Gods? The chosen ones, their souls linked,join hand and hand for the Ziggurat where the fighting shall ensue.""", Action, 2017, Completed, ハンドシェイカー
Hand Shakers (Dub), TV Series," The anime takes place in Osaka in ""AD20XX,"" and revolves around the Hand Shakers—partners who can summon ""Nimrodes,"" weapons born from their deep psyche by joining hands. In order to grant the pair's wish, the Hand Shakers compete with and fight other Hand Shaker pairs. The top pair will then meet and challenge ""God.""""They, the receivers of the Revelation of Babel. They, the challengers to God.They, who inevitably throw themselves into battle with their partners. What does God want from them?And did they want powers exceeding that of Gods? The chosen ones, their souls linked,join hand and hand for the Ziggurat where the fighting shall ensue.""", Action, 2017, Completed, ハンドシェイカー
Hand Shakers, Movie,,,,,
Handa-kun, Summer 2016 Anime," Set six years prior to the events of Barakamon, detailing the life of Seishuu Handa as a high school student—and a very interesting life it is.In Handa-kun, Seishuu Handa is admired by his peers as a calligraphy genius and given the utmost respect, but Handa-kun himself is under the mistaken impression that the deference and attention he receives from the other students is actually bullying. Handa just wants to live a quiet life, but hilarity ensues as one character after another challenges his position as the school idol, and somehow comes away as a fan all while Handa is horrified and clueless."," Comedy, Shounen, Slice of Life", 2016, Completed, はんだくん
Handa-kun (Dub), Summer 2016 Anime," Set six years prior to the events of Barakamon, detailing the life of Seishuu Handa as a high school student—and a very interesting life it is.In Handa-kun, Seishuu Handa is admired by his peers as a calligraphy genius and given the utmost respect, but Handa-kun himself is under the mistaken impression that the deference and attention he receives from the other students is actually bullying. Handa just wants to live a quiet life, but hilarity ensues as one character after another challenges his position as the school idol, and somehow comes away as a fan all while Handa is horrified and clueless."," Comedy, Shounen, Slice of Life", 2016, Completed, はんだくん
Hanebado!, Summer 2018 Anime," Ayano Hanesaki, a first-year student at Kanagawa Prefectural Kitakomachi High School, has a badminton ability able to surpass others effortlessly yet avoids playing the sport. She meets Nagisa Aragaki, a third-year student who practices day and night aiming to become the best player in Japan. Encouraged by coach Tachibana Kentarou, supported by club colleagues, and fired up by various rivals, the two engage in their youth and adored sport so thrilling like a shuttle flown at high speed!"," Seinen, Sports", 2018, Completed, はねバド!
Hanebado! (Dub), Summer 2018 Anime," Ayano Hanesaki, a first-year student at Kanagawa Prefectural Kitakomachi High School, has a badminton ability able to surpass others effortlessly yet avoids playing the sport. She meets Nagisa Aragaki, a third-year student who practices day and night aiming to become the best player in Japan. Encouraged by coach Tachibana Kentarou, supported by club colleagues, and fired up by various rivals, the two engage in their youth and adored sport so thrilling like a shuttle flown at high speed!"," Seinen, Sports", 2018, Completed, はねバド!
Hangyakusei Million Arthur, Fall 2018 Anime, Based on Square Enix's massively multi-player online role-playing game.," Action, Adventure, Fantasy, Magic", 2018, Completed, 叛逆性ミリオンアーサー
Hangyakusei Million Arthur (Dub), Fall 2018 Anime, Based on Square Enix's massively multi-player online role-playing game.," Action, Adventure, Magic", 2018, Completed, 叛逆性ミリオンアーサー
Hangyakusei Million Arthur 2nd Season, Spring 2019 Anime, Second season of Hangyakusei Million Arthur.," Action, Adventure, Fantasy, Magic", 2019, Completed, 叛逆性ミリオンアーサー 第2シーズン
Hangyakusei Million Arthur 2nd Season (Dub), Spring 2019 Anime, Second season of Hangyakusei Million Arthur.," Action, Adventure, Fantasy, Magic", 2019, Completed, 叛逆性ミリオンアーサー 第2シーズン
Hangyakusei Million Arthur Special, Special, Unaired episode bundled with the sixth Blu-ray volume of the Hangyakusei Million Arthur anime series.," Action, Adventure, Fantasy, Magic", 2019, Completed," Operation Han-Gyaku-Sei Million Arthur Special, 叛逆性ミリオンアーサー TV未放送エピソード"
Hanhua Riji 3rd Season, ONA, Third season of Hanhua Riji.," Comedy, Slice of Life, Supernatural", 2020, Completed, God Troubles Me; 汉化日记 第三季
Hani Hani, TV Series," Naoki Kuzumi, a junior in high school, had lost his parents in an accident five years ago, and is living with his aunt, uncle, and cousin Matsuri. He always thought his life was ordinary, besides the fact that he can’t remember what happened in his youth. One sunny day as he is taking a nap on a bench, a redheaded girl — Mikoto — literally falls on him from the sky. For some reason, she thinks he’s her younger brother.Naoki’s time period is a temporal shelter for those in the future, when many are suffering from an incurable disease. When she heard her younger brother Yuusuke had been taken to Naoki’s time, Mikoto herself had gone back in time."," Comedy, Drama, Harem, Romance, Sci-Fi", 2004, Completed, Tsuki wa Higashi ni Hi wa Nishi ni
Hanma Baki, ONA, Third part of the Baki series.," Action, Martial Arts, Shounen", 2021, Completed," The Boy Fascinating the Fighting God, 範馬刃牙 SON OF OGRE"
Hanma Baki, ONA, Third part of the Baki series.," Action, Martial Arts, Shounen", 2021, Completed," The Boy Fascinating the Fighting God, 範馬刃牙 SON OF OGRE"
Hanma Baki, ONA, Second season of Hanma Baki, Action, 0, Upcoming, Baki Hanma; The Boy Fascinating the Fighting God ; 範馬刃牙 SON OF OGRE
Hanoka, TV Series," Years ago, extraterrestrials known as the Citizens of the Stars descended upon the planet of Tokinea and wreaked havoc on humanity. To fight back against them, the military developed the Majin project to create hybrids between humans and the Citizens of the Stars. With this combination of genes, they hope to exploit both the subservience of man and the powers of the alien.Majin no.7, a young girl kept under lock and key in a military base, is released after the Citizens of the Stars launch an attack. Despite possessing a plethora of abilities capable of effortlessly eliminating the enemy, she is burdened with doubt on the battlefield. However, when a boy named Yuuri tells her that she must fight to earn her freedom, Majin no. 7 is inspired by his courage and defeats the remaining Citizens of the Stars. The two decide to embark on a journey together, determined to find their calling in a time when humanity knows no peace.", Sci-Fi, 2006, Completed, HANOKA～葉ノ香～
