name,Type,Plot Summary,Genre,Released,Status,Other name
Shin Captain Tsubasa, OVA," Shin CT takes place at the U-16 word cup in France. After some friendly matches in Germany, Japan defeats one opponent after another and finally reaches the final round against Germany. After hard matches against Italian and French top players, the German team seems to be even more supreme. The giant goal keeper Moeller, the all round ace Kalz and Europe's best player and forward Schneider offer the Japanese team an extremely hard match."," Action, Shounen, Sports", 1989, Completed," New Captain Tsubasa, 新・キャプテン翼"
Shin Chou Kyou Ryo, TV Series," Youka is a young 13-year-old boy. One day, his Uncle, Kakusei, has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated, Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman, by the name of Shouryuujo. After a short time, Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her, and thus begins their adventure through martial arts and love."," Adventure, Drama, Dub, Romance", 2001, Completed," Legend of the Condor Hero, 神鵰侠侶 コンドルヒーロー"
Shin Chuuka Ichiban!, Fall 2019 Anime," After passing the Guangzhou Special Chef Trials, Mao decided to travel around China, to learn more about the unique preparation of food. Upon his return, he will learn that the real battle has only just begun. The Underground Cooking Society has already begun to move..."," Comedy, Shounen", 2019, Completed," New Cooking Master Boy, 真・中華一番!"
Shin Chuuka Ichiban! 2nd Season, Winter 2021 Anime, Sequel of Shin Chuuka Ichiban.," Comedy, Shounen", 2021, Completed, 真・中華一番!
Shin Cutey Honey, OVA," Cosplay City is in danger when the evil Dolmeck shows up. Commanding his army of monsters, he plans on destroying everything. Only one person can stop this"," Adventure, Comedy, Ecchi, Magic, Sci-Fi", 1994, Completed," Shin Cutie Honey, New Cutey Honey, New Cutey Honey Dark Group, Shin Cutey Honey Yami no Gundan-Hen, 新・キューティーハニー"
Shin Cutey Honey (Dub), OVA," Cosplay City is in danger when the evil Dolmeck shows up. Commanding his army of monsters, he plans on destroying everything. Only one person can stop this"," Action, Adventure, Comedy, Demons, Ecchi, Magic, Sci-Fi, Super Power", 1994, Completed, 新・キューティーハニー
Shin Dousei Jidai, OVA," In this adaptation of a manga by Fumi Shibama, itself a retelling of a 1972 manga by Kazuo Kamimura (the original Age of Cohabitation whose existence is implied by the ""new"" in this title), Honda has been living with Eri for two years and debates whether or not he should ask her to marry him."," Drama, Romance", 1992, Completed, 新・同棲時代 HAWAIIAN BREEZE
Shin Getter Robo, OVA," Humanity is under attack by demonic creatures called Oni. Unable to fight back by any other means, the scientist Dr. Saotome creates a series of giant robots that harness the mysterious power of Getter Rays, giving them the strength necessary to fight the Oni. The strongest of these is Getter Robo, and Saotome must enlist three very different men to pilot it - martial artist Ryoma Nagare, criminal leader Hayato Jin, and monk Benkei Musashibou. Together, the Getter Team fights to end the Oni menace forever."," Action, Adventure, Demons, Horror, Mecha, Sci-Fi, Shounen", 2004, Completed," New Getter Robo, Shin Getter Robo (2004), 新ゲッターロボ"
Shin Getter Robo (Dub), OVA," Humanity is under attack by demonic creatures called Oni. Unable to fight back by any other means, the scientist Dr. Saotome creates a series of giant robots that harness the mysterious power of Getter Rays, giving them the strength necessary to fight the Oni. The strongest of these is Getter Robo, and Saotome must enlist three very different men to pilot it - martial artist Ryoma Nagare, criminal leader Hayato Jin, and monk Benkei Musashibou. Together, the Getter Team fights to end the Oni menace forever."," Action, Adventure, Demons, Horror, Mecha, Sci-Fi, Shounen", 2004, Completed," New Getter Robo, Shin Getter Robo (2004), 新ゲッターロボ"
Shin Getter Robo tai Neo Getter Robo, OVA," Years after the defeat of the Reptilian Empire, Getter Team has begun training on a new super robot, Neo Getter Robo. But a surprise attack from the Empire's revived leader forces them to recruit a street fighter named Go Ichimonji as Getter One's pilot. Faced with an enormously powerful foe, the new team's only hope for victory may lie in the resurrection of the lost weapon of humanity, Shin Getter Robo."," Action, Mecha, Sci-Fi, Shounen", 2000, Completed," Shin Getter Robo vs. Neo Getter Robo, True Getter Robo vs. Neo Getter Robo, 真ゲッターロボ対ネオゲッターロボ"
