name,Type,Plot Summary,Genre,Released,Status,Other name
Final Fantasy VII, Movie," After the destruction of Nibelheim at the hands of Sephiroth, Zack Fair and Cloud Strife are on the run from Shinra Inc. As they make their way back to Midgar, they recall the horrible events that happened at Nibelheim, fighting for survival against Shinra."," Action, Adventure, Drama, Fantasy, Sci-Fi, Shounen", 2005, Completed, ラストオーダー -ファイナルファンタジーVII-
Final Fantasy XV, OVA, Synopsis, Action, 2019, Completed,
Final Fantasy, TV Series," A continuation of the events from Final Fantasy V. 200 years after Batz and his friends saved two worlds from the threat of ExDeath, a threat arises and seeks to take the Crystals for itself. Linaly, a descendant of Batz, and her friend/protector Pretz journey to the Temple Of Wind to seek the source of this new danger."," Action, Adventure, Comedy, Fantasy", 1994, Completed, ファイナルファンタジー
Final Fantasy, OVA," A continuation of the events from Final Fantasy V. 200 years after Bartz and his friends saved two worlds from the threat of ExDeath, a threat arises and seeks to take the Crystals for itself. Linaly, a descendant of Bartz, and her friend/protector Prettz journey to the Temple Of Wind to seek the source of this new danger."," Action, Adventure, Comedy, Fantasy", 1994, Completed," Final Fantasy, ファイナルファンタジー"
FINAL FANTASY, Movie, A planet is overrun by a mysterious group of creatures that infect and destroy all life on Earth. Only the determination of a single woman to find a cure will prevent the world from slowly being eaten away. Yet there are those from within who are impatient for results and will do anything to win this war., Sci-Fi, 2001, Completed, ファイナルファンタジー
Final Fantasy, TV Series," Ai and Yu, after reading their parent’s research and after their parents’ disappearance, they decided to go on search for them. They ride a strange train to the Inner World in search of their parents and meets up with Lisa in the train and together they begin their journey within the Inner World."," Action, Adventure, Fantasy, Sci-Fi, Shounen", 2001, Completed, ファイナルファンタジー：アンリミテッド
Final Fantasy, TV Series," Years ago, the opening of an interdimensional portal released two beasts into the skies over the Sea of Japan, visible to all the countries along the coast. After destroying the naval patrol sent to investigate the disturbance, the two beasts then turned against each other.Witnessing the fight from Japan, scientists Joe and Marie Hayakawa were sucked into the rift. Upon returning to Earth, they compiled and published the academic findings from their voyage in a legendary book titled ''Day of Succession''. Attempting a second expedition to that other dimension twelve years later, the couple have not returned.Twins Ai and Yu Hayakawa decide to set forth in search of their parents and the mysterious Wonderland they studied. In the ruins of an abandoned subway station, the two wait for a train to take them to the world beyond. On board they meet Lisa Pacifist, who quickly decides to aid the two in the search for their missing family. Can the three of them manage to find Joe and Marie?"," Action, Adventure, Fantasy, Sci-Fi, Shounen", 2001, Completed, ファイナルファンタジー：アンリミテッド
Fire Emblem (Dub), Movie," Prince Marth, heir to the throne of Aritia, has fled his homeland and the invaders bent on conquering the entire continent. Together with the Aritian Knights he hides and bides his time in the friendly island kingdom of Talus. Though criticized for constantly daydreaming or being in a bad mood, he has found a friend in Caeda, the princess of Talus. Together they indulge in hayrides and shopping trips, or just standing upon the parapet and looking out over the land. However, despite how pleasant life is, he cannot forget the circumstances that separated him from his land and forced his beloved sister to sacrifice herself for him."," Action, Adventure, Fantasy, Magic, Shounen", 1996, Completed, ファイアーエムブレム
Fire Tripper, Movie," A massive gas explosion in modern-day Tokyo throws seventeen year old Suzuko back in time - 500 years into the past and into a death-strewn battlefield. Rescued from lecherous bandits by the young warriorShukumaru, Suzuko struggles to untangle the time-lines. Slowly she begins to understand the strange force that has exiled her, and how it relates to her own mysterious past.Shukumaru and Suzuko tackle mystery, tragedy and disaster as time unravels amidst the roaring flames of past and present."," Fantasy, Sci-Fi", 1985, Completed," Rumic World 1, 炎トリッパー"
Fireball, TV Series," Fireball takes place during the war between humans and robots. There is no real story, just individual episode skits."," Comedy, Sci-Fi", 2008, Completed, ファイアボール
Fireball (Dub), TV Series," Fireball takes place during the war between humans and robots. There is no real story, just individual episode skits."," Comedy, Sci-Fi", 2008, Completed, ファイアボール
Fireball Charming, TV Series, A 3D computer animation about a female robot duchess named Drossel von Flügel and her guardian servant robot Gedächtnis., Sci-Fi, 2011, Completed, ファイアボール チャーミング
Fireball Charming (Dub), TV Series, A 3D computer animation about a female robot duchess named Drossel von Flügel and her guardian servant robot Gedächtnis., Sci-Fi, 2011, Completed, ファイアボール チャーミング
Fireball Humorous, Fall 2017 Anime," The show takes place in the distant future of the 13th, 4-9th millennium, and revolves around the happenings inside a giant manor (named 'Tempest Tower') inhabited by two robots."," Comedy, Sci-Fi", 2017, Completed, N/A
Fireball Humorous (Dub), Fall 2017 Anime,," Comedy, Sci-Fi", 2017, Completed, ファイアボール ユーモラス
Fireball Special, Special," A small special in which the show's stars, Drossel and Gedächtnis, explain a little bit about how the show is made, through interviews and behind the scenes shots."," Comedy, Sci-Fi", 2009, Completed," Making of Fireball, メイキングオブファイアボール"
Firestorm, TV Series," It is the year 2104 AD. The terrible war is over and peace seemed close in the world. However, there is one thing that can bring down this peace. That is the criminal organisation who's power and actions are widespread across the world... The Black Orchid.From the main countries of the world, the ""Storm Force"" was formed to take down the Black Orchid. They are also known under the code name ""Fire Storm""."," Action, Adventure, Mecha, Military, Sci-Fi", 2003, Completed, FIRESTORM　ファイアーストーム
First Class Taker, ONA," Have you ever seen a servant who is more arrogant than noble? Have you seen a servant who is more arrogant than a monk? Have you seen a servant who is more domineering than an emperor? Have you ever seen a servant who hooked up with her own lady? Have you ever seen a servant who is in trouble with the alluring city? As a modern man, Xu Feng has always been intoxicated with wind and moon, and has become a dog and horse, but because of an accident, he has reborn into another world, and he has become a servant. Messing with Ms. Xiao's family, ganging up with the rich ladies, scourge thousands. Achieve a generation of family!"," Action, Comedy", 2018, Ongoing, 一等家丁
First Squad, Movie," As the Second World War rages on throughout Europe and the German forces advance closer to Moscow, the days of the Soviet Union seem numbered. Their only hope is the First Squad, a special unit operating within the Soviet intelligence service that consists of teenagers possessing supernatural abilities. However, the unit’s sole surviving memberNadya Ruslanova suffers from memory loss and is unlikely to take part in any combat operation.The next Moment of Truth – an event that happens once every 700 years, when the actions of a single man can change the entire course of history – is rapidly approaching the Eastern Front. In hopes of breaking the stalemate at the frontlines, a German occult organization called Ahnenerbe plans to summon Baron von Wolff, a medieval knight from the Northern Crusades, and his undead army from the underworld. To prevent this from happening, First Squad must gather once again, and it’s up to Nadya to bring back her deceased friends to stop the Nazis from taking over the world."," Action, Historical, Military, Super Power, Supernatural", 2009, Completed, ファーストスクワッド
Fist of the North Star, TV Series," In a post-nuclear future, human race has made many steps. Normal people have become slaves, while genetically modified giants rule the world. Gunpowder is a distant memory and martial arts is the only weapon a man can count on. Two schools face each other in the battle for dominion"," Action, Drama, Martial Arts, Sci-Fi, Shounen", 1984, Completed, Seikimatsu Kyuseishu Densetsu
