name,Type,Plot Summary,Genre,Released,Status,Other name
Black Lagoon, TV Series," Okajima Rokuro – now known almost exclusively as ‘Rock’ – was once a typical, put-upon Japanese businessman. Then, on a routine business trip, he was kidnapped and ransomed by the Lagoon Company"," Action, Seinen", 2006, Completed,
Black Lagoon (Dub), TV Series," Okajima Rokuro is a Japanese businessman in a town full of Japanese businessmen. His normal day consists of social drinking with clients and being kicked around by his bosses. He finally gets a break though, as he's sent by his company to the tropical seas of Eastern China to deliver a disc. But his boat gets hijacked by a band of mercenaries hired to retrieve the disc. Rock (as he is newly dubbed by his captors) catches the interest of the only female merc Revy as she thinks he's worth a ransom, taking him hostage. However, the disc that was stolen has a terrible secret that's unknown to Rock, which causes massive confusion and chaos for both him and his kidnappers"," Action, Seinen", 2006, Completed,
Black Lagoon Omake, Special," Special omake episodes from the Blu-Ray releases, showing the heroines and foes in funny, uncommon situations.", Comedy, 2009, Completed, ブラック・ラグーン オマケ
Black Lagoon OVA Roberta’s Blood Trail, TV Series," Okajima Rokuro – now known almost exclusively as ‘Rock’ – was once a typical, put-upon Japanese businessman. Then, on a routine business trip, he was kidnapped and ransomed by the Lagoon Company"," Action, Seinen", 2010, Completed, Black Lagoon 3
Black Lagoon The Second Barrage , TV Series," Okajima Rokuro - now known almost exclusively as 'Rock' - was once a typical, put-upon Japanese businessman. Then, on a routine business trip, he was kidnapped and ransomed by the Lagoon Company"," Action, Seinen", 2006, Completed," Black Lagoon 2nd Season, Black Lagoon Second Season"
Black Lagoon, OVA," Roberta, the terrorist-turned-maid that made her appearence in the first season of Black Lagoon, returns in this five-episode OVA series—and this time, all bets are off!Roberta's benefactor, the patriarch of the Lovelace clan, is murdered during a political rally. The assassin's trail soon leads back to Roanapur—so now she has returned on a mission of vengeance! However, close behind her is the new patriarch, Garcia, as well as Roberta's apprentice (and maid), Fabiola Iglesias. As the body count of Roberta's bloody rampage mounts, forces from within the corrupt island (which includes the Lagoon Company), as well as overseas converge on what threatens to escalate into all-out war!"," Action, Seinen", 2010, Completed, Black Lagoon 3
Black Lagoon, TV Series," Rokurou ""Rock"" Okajima has joined the Lagoon Company, a pirate mercenary group which operates out of Roanapur, Thailand. Despite his initial protests, this filthy slum of depraved souls and merciless criminals now serves as the former salaryman's home. Stranded, with nothing left of his past life but the clothes on his back and his inner morality, Rock is forced to perform jobs alongside the other members of the Lagoon crew. Berated for his lack of spine as he wades through the underbelly of society, he must decide whether to continue on amidst the gunfire and ruthlessness or risk everything he has in an attempt to be free. Whether he chooses the comfort of a familiar land or the freedom of being an outlaw, his decision will have lasting consequences on the crew who gave him a home."," Action, Seinen", 2006, Completed," Black Lagoon 2nd Season, Black Lagoon Second Season"
Black Lion, Movie," The year is 1580. Using an army of soldiers equipped with sophisticated weaponry, Nobunaga Oda is on the verge of ruling Japan with an iron fist. One of his enforcers is Ginnai Doma - a fallen samurai reborn into an indestructible killing machine.As Ginnai continues his killing spree on ninjas and those who oppose Nobunaga's rule, Shishimaru of the Iga Ninja - going against the Koga Ninja's plans - pursues a one-man vendetta to avenge the deaths of his comrades and kill the immortal warrior."," Action, Mecha, Military, School, Super Power", 2008, Completed, Jigen Sengokushi
Black Magic M-66, Movie,"  Based on the story Booby-Trap from Shirow Masamune's manga Black Magic.When two top secret military robots are lost in an accident, Sybel, a free-lance video journalist, becomes involved in a dangerous military fiasco.One of the lethal M-66 units escapes with the mission to eliminate Ferris, the granddaughter of its creator. Time is running out as Sybel faces the deadly M-66 humanoid robot in an epic battle to save Ferris!"," Action, Adventure, Mecha, Military, Sci-Fi", 1987, Completed, ブラックマジックＭ（マリオ）－６６
Black Magic M-66 (Dub), OVA," When Sybel, a freelance reporter, discovers a military plane crash, she is thrilled by the prospect of getting her hands on the latest inside scoop. However, she is unaware that the plane was carrying two top-secret prototype android assassins who will stop at nothing to destroy their target. As the military frantically tries to clean up its mess, Sybel races against time to find and protect the robots' targeted victim—all while documenting the military's misconduct—before it is too late."," Action, Mecha, Military, Sci-Fi", 1987, Completed, ブラックマジックＭ（マリオ）－６６
Black Rock Shooter , TV Series," Mato Kuroi just got into junior high school, and on the first day, someone catches her eye; her classmate Yomi Takanashi. The two meet.The innocent and naive Mato. The mature Yomi. Seemingly opposites, but the time they spend together only strengthens a growing friendship. But as they go into their second year at the school, they get placed in sepa…more Mato Kuroi just got into junior high school, and on the first day, someone catches her eye; her classmate Yomi Takanashi. The two meet.The innocent and naive Mato. The mature Yomi. Seemingly opposites, but the time they spend together only strengthens a growing friendship. But as they go into their second year at the school, they get placed in separate classes, and they begin to grow apart. But somewhere simultaneously… In another world, a young girl, blue fire residing in her eyes, Black Rock Shooter faces another young girl; this one holding a jet-black scythe, Dead Master, and a battle to the death begins to unfold."," Action, Drama, School, Slice of Life", 2010, Completed, ブラック★ロックシューター
Black Rock Shooter Movie, Movie," Based on a media franchise that started with characters created by illustrator Fuke ""Huke"" Ryouhei and later inspired a song of the same name by Ryo, a music Kuroi Mato just got into junior high school, and on the first day, someone catches her eye; her classmate Takanashi Yomi.The two meet. The innocent and naive Mato. The mature Yomi. Seemingly opposites, but the time they spend together only strengthens a growing friendship. But as they go into their second year at the school, they get placed in separate classes, and they begin to grow apart.But somewhere simultaneously... In another world, a young girl, blue fire residing in her eyes, Black Rock Shooter faces another young girl; this one holding a jet-black scythe, Dead Master, and a battle to the death begins to unfold."," Action, Music", 2008, Completed, ブラック★ロックシューター
Black★★Rock Shooter, Spring 2022 Anime,," Action, Drama, Super Power", 2022, Completed, ブラック★★ロックシューター DAWN FALL
Black★★Rock Shooter, Spring 2022 Anime," In the year 2062, Earth finds itself fiercely battling Artemis—an AI which rebelled against humankind following a grand-scale workforce automation project failure years prior. In the hope of winning the war, a group of three highly skilled human warriors is assembled, known as the guardians of humanity.Empress, the last surviving guardian, wakes up alone in an empty research facility. Unable to recall anything from the past except a place called ""Lighthouse No. 8,"" she begins to search for answers. It is not long before she discovers an impending threat from Artemis—and she is the sole person who can save the world from destruction."," Action, Drama, Super Power", 2022, Completed, ブラック★★ロックシューター DAWN FALL
Black★Rock Shooter (TV) (Dub), TV Series," On the first day of junior high school, Mato Kuroi happens to run into Yomi Takanashi, a shy, withdrawn girl whom she immediately takes an interest in. Mato tries her best to make conversation with Yomi, wanting to befriend her. At first, she is avoided, but the ice breaks when Yomi happens to notice a decorative blue bird attached to Mato's phone, which is from the book ""Li'l Birds At Play."" Discovering they have a common interest, the two form a strong friendship.In an alternate universe, the young girls exist as parallel beings, Mato as Black★Rock Shooter, and Yomi as Dead Master. Somehow, what happens in one world seems to have an effect on the other, and unaware of this fact, the girls unknowingly become entangled by the threads of fate."," Action, Drama, School, Slice of Life", 2012, Completed," Black Rock Shooter, ブラック★ロックシューター"
BLackmailed by Bossy CEO, ONA,, Romance, 2022, Completed," Blackmailed by the Bossy President , 我被总裁黑上了 , CEO No Juegues Conmigo , Chantageada Pelo CEO , ฉันถูกประธานแอนตี้แล้วสินะ"
BLackmailed by Bossy CEO 2, ONA,, Romance, 2022, Completed," Blackmailed by the Bossy President , 我被总裁黑上了 , CEO No Juegues Conmigo , Chantageada Pelo CEO , ฉันถูกประธานแอนตี้แล้วสินะ"
Blade, TV Series," Blade, a “Daywalker” vampire hunter who was born with human and vampire blood in his veins after a vampire attacked his mother, is visiting Japan on a mission. There, he not only confronts Deacon Frost, the vampire who killed his mother, but he also faces up against “Existence,” a mysterious organization of vampires modified by Frost."," Action, Drama, Horror, Vampire", 2011, Completed, ブレイド
Blade and Soul, Spring 2014 Anime, An anime adaptation of the Korean MMORPG (massively multiplayer online role-playing game) Blade and Soul.," Adventure, Fantasy, Martial Arts", 2014, Completed," Blade & Soul, ブレイドアンドソウル"
Blade and Soul Specials, TV Series, Blade and Soul Specials.," Adventure, Fantasy, Martial Arts", 2014, Completed," Blade & Soul, ブレイドアンドソウル"
Blade of the Immortal, TV Series," Manji is a crass, violent samurai with a special ability"," Action, Adventure, Historical, Samurai, Supernatural", 2008, Completed,
Blade of the Immortal (Dub), TV Series," Manji is an amoral swordsman, who has been cursed with eternal life. He has grown tired of living with all the death he has created. He has no skills other then those of killing, thus he forms a plan to regain his mortality"," Action, Adventure, Samurai, Supernatural", 2008, Completed, 無限の住人
