name,Type,Plot Summary,Genre,Released,Status,Other name
Z/X, Fall 2019 Anime, Sequel of Z/X," Fantasy, School, Sci-Fi, Shounen", 2019, Completed,
Z/X, Winter 2014 Anime," The story is set in the not-so-distant future. Five “Black Points” suddenly appeared around the world as portals to parallel worlds. Immediately after, strange creatures began their invasion from these portals. These creatures are the inhabitants of five worlds—the same worlds in different timeframes. In order to ensure their own future timeframe survives, each of the five invasion forces battle to wipe the other future timeframes out. The key is one card-shaped device."," Adventure, Fantasy, Game, Sci-Fi", 2014, Completed, Zillions of Enemy X Ignition
Zaion I Wish You Were Here, TV Series," In the future, a meteor crashes into Earth and brings with it a virulent form of life. This virus is known as M34 and attacks humans, turning them into vicious monsters. Most of the human population is wiped out, thus government agencies are formed to fight the virus.One of the groups, NOA, inserts nanomachines into the bodies of its soldiers; these machines allow them to transform and fight off the infected. Unfortunately, the virus mutates and becomes too strong for NOA to handle. Now the fate of the world rests in the hands of 16-year-old girl with the power to defeat the virus."," Action, Drama, Mystery, Sci-Fi", 2001, Completed, I
Zaion, TV Series," In the future, a meteor crashes into Earth and brings with it a virulent form of life. This virus is known as M34 and attacks humans, turning them into vicious monsters. Most of the human population is wiped out, thus government agencies are formed to fight the virus. One of the groups, NOA, inserts nanomachines into the bodies of its soldiers; these machines allow them to transform and fight off the infected. Unfortunately, the virus mutates and becomes too strong for NOA to handle. Now the fate of the world rests in the hands of 16-year-old girl with the power to defeat the virus."," Action, Drama, Mystery, Sci-Fi", 2001, Completed, I
Zan Sayonara Zetsubou Sensei, TV Series," Itoshiki Nozomu is the world’s most negative person. To his way of thinking, there is no hope or meaning in this existence. Even the three kanji of his name become the two-kanji word zetsubou, “despair”, when compressed. What an ironic twist of fate, then, that he becomes teacher to a class containing his precise opposite, the invincibly positive-minded Fuura Kafuka."," Comedy, Parody, School", 2009, Completed, 懺・さよなら絶望先生
Zan Sayonara Zetsubou Sensei Bangaichi, OVA, A new Sayonara Zetsubou Sensei OVA.," Comedy, Parody, School, Shounen", 2009, Completed, 懺さよなら絶望先生 番外地
Zankyou no Terror, Summer 2014 Anime," On a summer day... Suddenly, an immense terrorist bomb struck Tokyo.The culprits behind the act that woke up this complacent nation, were just two boys. The culprits known as Sphinx now, begin a massive game that envelopes Japan."," Psychological, Thriller", 2014, Completed," Terror in Resonance, 残響のテロル"
Zankyou no Terror (Dub), TV Series," Painted in red, the word ""VON"" is all that is left behind after a terrorist attack on a nuclear facility in Japan. The government is shattered by their inability to act, and the police are left frantically searching for ways to crack down the perpetrators. The public are clueless—until, six months later, a strange video makes its way onto the internet. In it, two teenage boys who identify themselves only as ""Sphinx"" directly challenge the police, threatening to cause destruction and mayhem across Tokyo. Unable to stop the mass panic quickly spreading through the city and desperate for any leads in their investigation, the police struggle to act effectively against these terrorists, with Detective Kenjirou Shibazaki caught in the middle of it all.Zankyou no Terror tells the story of Nine and Twelve, the two boys behind the masked figures of Sphinx. They should not exist, yet they stand strong in a world of deception and secrets while they make the city fall around them, all in the hopes of burying their own tragic truth."," Psychological, Thriller", 2014, Completed," Terror in Resonance, 残響のテロル"
Zannen na Ikimono Jiten the Movie, Movie, Based on a series of illustrated children's books.," Comedy, Slice of Life", 2022, Upcoming, 映画ざんねんないきもの事典
Zashiki Warashi no Tatami-chan, ONA," The ""pleasant horror gag comedy"" centers around the life of Tatami-chan, a sardonic ghost from Iwate Prefecture who is now living in Tokyo among other spirits, supernatural entities, and humans. In addition to dealing with otherworldly matters, the unemployed Tatami-chan also has to deal with job-hunting as well as paying for gas, water, and electricity."," Comedy, Horror, Supernatural", 2020, Completed," The House Spirit Tatami-chan,"
