name,Type,Plot Summary,Genre,Released,Status,Other name
K (K-Project) (Dub), TV Series," Set in a world where history has taken a slightly different course from the one we're familiar with, K follows the story of a young boy whose life is caught in a psychic war between seven kings.Ashinaka High School is known for its unique setting"," Action, Super Power, Supernatural", 2012, Completed," K Anime, K-Project, K -eine weitere Geschichte-"
K Anime, TV Series, Isano Yashiro (aka," Action, Super Power, Supernatural", 2012, Completed," K-Project, K -eine weitere Geschichte-"
K-ON!, TV Series," This is the first year of high school for the four girls, looking for that very special club.The healthy and energetic Tainaka Ritsu (club president, drums) decides to join the school's Light Music Club, only to find out that the club is about to be closed — due to the lack of members. Without much ado she drags along her childhood friend, the shy, mature, and sensitive Akiyama Mio (bass).That leaves only two more members, required to keep club from closing. Luckily the gentle, calm, warm, and cute Kotobuki Tsumugi(keyboard) stumbles into the club, only to be ""convinced"" by the pleading Ritsu to stay. The last member, the easily distracted klutz Hirasawa Yui, can only play castanets, even though the club needs someone on the guitar, but she is ""bribed"" — with cake — to stay anyway.Will Yui be able to learn to play the guitar — the special one she just bought and loves so much — before the four girls graduate?"," Comedy, Music, School, Slice of Life", 2009, Completed," Keion, K-ON! Season 1, けいおん!"
K-On! (Dub), TV Series," Hirasawa Yui, a young, carefree girl entering high school, has her imagination instantly captured when she sees a poster advertising the ""Light Music Club."" Being the carefree girl that she is, she quickly signs up; however, Yui has a problem, she is unable to play an instrument.When Yui goes to the clubroom to explain, she's greeted by the other members"," Comedy, Music, School, Slice of Life", 2009, Completed," Keion, K-ON! Season 1, けいおん!"
K-On! Movie, Movie," Graduation draws near for Yui, Ritsu, Mio and Tsumugi, the four 3rd-year students of the Light Music Club. They, together with Azusa, decide to go on a post-graduation trip. Their destination, decided by lot, is London!"," Comedy, Music, Slice of Life", 2011, Completed, 映画 けいおん！
K-On! Movie (Dub), Movie," Graduation looms for the founding members of the Light Music Club. With only a few precious weeks of school left, the girls decide to make the most of it and plan a trip abroad. Hawaii, New York, Dubai—many destinations are suggested, but after a little help from the club's precious pet turtle, Ton-chan, London is chosen as the host of their next misadventure!Yui Hirasawa, Mio Akiyama, Tsumugi Kotobuki, Ritsu Tainaka, and Azusa Nakano will visit famous landmarks, perform live music for Londoners, and eat all sorts of delicious food, all while stumbling clumsily from place to place. But the fun won't last forever, as heartfelt songs and goodbyes will be made as their high school days together come to a close. One thing is for certain though"," Comedy, Music, Slice of Life", 2011, Completed," Eiga K-On!, Keion Movie, 映画 けいおん！"
K-ON! Special, TV Series," The seven Blu-ray disc volumes of K-ON! have an extra short anime ""Ura-ON!"""," Comedy, Music, School, Slice of Life", 2009, Completed, K-On!
K-On!, Special," It is almost the end of the year, and Houkago Tea Time has been invited to participate in a live house on New Year's Eve! The iconic band members are Yui Hirasawa, the carefree guitarist who is enthusiastic to play music; Mio Akiyama, the shy bassist who gets embarrassed easily; Tsumugi Kotobuki, the gentle and sweet keyboardist who finds joy in normal activities; Ritsu Tainaka, the extroverted drummer who likes to tease Mio; and Azusa Nakano, the rhythm guitarist who is one year younger than the rest but slightly more mature.Performing in the set gives the girls the rare opportunity to meet various people from different bands, including the one that invited them, Love Crysis. Will Houkago Tea Time be able to delight their audiences successfully?"," Comedy, Music, School, Slice of Life", 2010, Completed,
K-ON!!, TV Series," It is the final year of high school for Hirasawa Yui (guitar), Tainaka Ritsu (drums), Akiyama Mio (bass), and Kotobuki Tsumugi (keyboard); the founding members of the Light Music Club. Together with their junior member Nakano Azusa (guitar), they spend their days after school in the music room enjoying tea and sweets, and practising music. Amidst band practice, preparations for the new student orientation performance, scouting for new members, and student responsibilities they still have time for After School Tea Time."," Comedy, Music, School, Slice of Life", 2010, Completed," Keion 2, K-On!! 2nd Season, けいおん!!"
K-On!! (Dub), TV Series," The student band ""After School Tea Time"" (lead guitarist Yui Hirasawa, bassist Mio Akiyama, drummer Ritsu Tanaika, and keyboardist Tsumugi Kotobuki) are ready to graduate and take their band to new heights. But before they can do that, they must recruit new members to ensure the survival of the light music club!Between band practice, club recruitment, and studying, the girls stumble through daily teenager life"," Comedy, Music, School, Slice of Life", 2010, Completed," K-ON! Season 2, Keion 2, K-On!! 2nd Season, けいおん!!"
