name,Type,Plot Summary,Genre,Released,Status,Other name
Terra Formars OVA, OVA," In the late 26th century, overpopulation on Earth is reaching the breaking point, and humanity must find new frontiers. The terraforming of Mars has taken centuries but is now complete. The colonization of Mars by humanity is an epoch-making event, but an unintended side effect of the terraforming process unleashes a horror no one could ever have imagined...After humanity's first manned mission to the Red Planet was lost, a second expedition arrives. The explorers prepare to exterminate the cockroaches that were used to transform the Martian environment. They are shocked to discover that the insects have mutated into giant, aggressive humanoids with one overriding goal — exterminate the humans! But this crew of explorers has each undergone the Bugs Procedure, terrifying experimental surgery designed to make them more than human..."," Action, Horror, Sci-Fi, Space", 2014, Completed," テラフォーマーズ　バグズ２号編, Terra Formars"
Terra Formars Revenge, Spring 2016 Anime," With the space program attempting to travel to Mars, 21st century scientists were tasked with warming up the planet so that humans could survive on its surface. They came up with an efficient and cost effective plan of sending cockroaches and mold to the surface so that the mold would absorb the sunlight and the insect corpses would serve as a food source for the mold.It is now the year 2577 and the first manned ship to Mars has landed on the planet and the six crew members are ready for their mission. But what they find are giant mutated humanoid cockroaches with incredible physical strength. The crew members are easily wiped out, but not before sending a transmission back to Earth. Now, humanity will send elite warriors to exterminate the mutated bugs and claim back Mars."," Action, Horror, Sci-Fi, Space", 2016, Completed, テラフォーマーズ リベンジ
Terra Formars, OVA," Bundled with the 21st and 22nd volumes, the OVAs adapt the Earth arc of the manga."," Action, Horror, Sci-Fi", 2018, Completed, Terra Formars
Terra Formars, Spring 2016 Anime," In Terra Formars Revenge, the crew members of the Annex I continue to fight against Terraformars—the large humanoid cockroaches that evolved from the ones sent to Mars centuries ago. However, far from discovering the cure for the lethal Alien Engine Virus that has been plaguing Earth, the Annex I team have learned that some squadrons have agendas from their own countries. Now, the squadrons must not only fight against the Terraformars for their survival, but also each other in the never-ending battle for international dominance."," Action, Drama, Horror, Sci-Fi, Seinen, Space", 2016, Completed," Terra Formars 2nd Season, Terraformars 2, テラフォーマーズ リベンジ"
Tesagure! Bukatsumono, TV Series, The CG anime centers around the extracurricular activities of students.," School, Slice of Life", 2013, Completed, てさぐれ！部活もの
Tesagure! Bukatsumono Encore , Winter 2014 Anime, Second Season of Tesagure! Bukatsumono series.," School, Slice of Life", 2014, Completed, てさぐれ！部活もの あんこーる
Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou, Spring 2015 Anime, A spin-off of the Tesagure! Bukatsumono series.," School, Slice of Life", 2015, Completed, てさぐれ！部活もの すぴんおふ プルプルんシャルムと遊ぼう
Tesla Note, Fall 2021 Anime," Mission T is a secret operation to save the world from destruction. Trained as a ninja from a young age, Botan Negoro, raised to become the ultimate spy, teams up with another excellent spy, Kuruma. Their aim is to recover the legacy of the genius inventor Nikola Tesla, the ""Shards of Tesla."" Can the two outwit the agents of other countries who are also pursuing these fragments? A super-original spy thriller begins."," Action, Shounen, Suspense", 2021, Completed, テスラノート
Tetsujin 28-go (Dub), TV Series," In post-WWII Japan, Prof. Shikishima has built up Shikishima Industries to be a technological powerhouse, working on developing robots. However, at the heart of their success lurks a dark secret from the war, something that cost the life of Prof. Kaneda, the mentor of Prof. Shikishima. Now Kaneda's son, Shoutarou, is about to learn the truth, and it will change him forever."," Action, Mecha", 1963, Completed, 鉄人２８号
Tetsujin 28-gou (1963), TV Series," Dr.Haneda was developing experimental giant robot warriors to fight the allies during the Second World War, but before his creations could see action, Allied bombs destroyed the facility and killed him. A decade later criminals discovered two of the surviving prototypes, #26 and 27 in the series, and used the remote controlled robots to commit a number of crimes. Young Shotaro Haneda, the twelve year old son of Dr.Haneda, did some investigating and discovered that the mob were hunting for the twenty-eighth robot in the series, rumoured to be the most powerful of them all. Racing the villains, Shotaro discovers the robot first, along with Dr.Shikashima, a colleague of his father's who was also believed killed by the Allied bombing. Together the two prevent Tetusjin-28 (the robot's official designation) from falling into the hands of the bad guys, and decide to dedicate him to peace rather than war.Shotaro fought crime for a long time, supported by Dr.Shikashima, who would repair Tetsujin-28 when he was damaged, and by police officer Otsuka. Shotaro even battled the alien Magmans, invaders from the planet Magma, who came to Earth late in his career, bringing their own giant robots, Magma X and Gold Wolf, with them."," Adventure, Mecha, Sci-Fi, Shounen", 1963, Completed," Gigantor, Iron Man 28, Tetsujin 28-go, 鉄人２８号"
