name,Type,Plot Summary,Genre,Released,Status,Other name
Rescue Me!, OVA," The story centers on Mizutani Masayuki, an ordinary high school boy. His classmate Shimizu Sayaka lives in his home as a zealously intrusive maid, leading to uncomfortably erotic situations."," Ecchi, Harem, Romance", 2013, Completed, れすきゅーME!
Rescue YoYo, Special," Stop-motion animation about robots who only say ""YoYo"" and the rescue operation needed to help a robot duckling cross a river."," Kids, Mecha", 2012, Completed, レスキューYoYo
Resident Evil, Movie, A sequel to the full-length CG animation feature Biohazard," Action, Horror, Sci-Fi", 2012, Completed, Biohazard
Resident Evil, Movie," United States Special Agent Leon S. Kennedy sneaks into a small Eastern European country to verify rumors that Bio Organic Weapons (B.O.W.s) are being used in war. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the B.O.W.s.(Source"," Action, Horror, Sci-Fi", 2012, Completed, Biohazard
Resident Evil, Movie," The Umbrella Incident that took place in Raccoon City was ended with the eradication of the deadly virus by a missile attack ordered by the government. As its operations were suspended on a global scale, Umbrella Corporation stock plummeted. This serious blow to the business giant resulted in its complete dissolution. 7 years later, at an airport somewhere in the United States. An ordinary autumn afternoon. One zombie is unleashed into this peaceful scene to attack everyone. In the airport starting to fill up with the undead, the horrific disaster is about to be repeat itself...The story is set to take place 7 years after the events depicted in the Biohazard and Biohazard 2 games (Resident Evil and Resident Evil 2 on the western market) featuring Leon S. Kennedy and Claire Redfield (both of who were the protagonists in Biohazard 2)."," Action, Horror, Sci-Fi", 2008, Completed,
Resident Evil, Movie," The story is set in autumn 2005, one year after Resident Evil 4 game took place. Due to an as of yet unexplained reason, zombies appear in a United States airport. The release of the zombies leads to danger of an outbreak."," Action, Horror, Sci-Fi", 2008, Completed, バイオハザード ディジェネレーション
Resident Evil, Movie," The film will have a completely original story, and will feature characters from multiple games in the series, including Chris Redfield, Rebecca Chambers, and Leon Kennedy. CAPCOM producer Hiroyuki Kobayashi (Resident Evil 4, Sengoku Basara) is supervising the project."," Action, Horror, Sci-Fi", 2017, Completed, Biohazard
Resourceful Princess, ONA,," Action, Fantasy", 2019, Completed,
Restol, TV Series," It is the year 2035, a world filled with advanced science and technology, sophisticated computer systems, audio/video multimedia converstions,world government unification, network wars by hackers, and the future world controlled by one huge multinational company. A 14-year old named Kang Maru, a boy with excellent manuevering skills in a RESTOL simulation game, was chosen by GEONOID, a company with the task of protecting the earth against natural calamities, to pilot RESTOL 03, one of the 5 RESTOLs, to rescue people in different calamities. Now, he and his teammates faces different challenges in their duty, including being hacked their space-based rescue station R-SAT."," Action, Adventure, Mecha, Police", 1999, Completed," RESTOL, The Full-Armed Rescue Squad, Soukou Kyuujo Butai RESTOL, Restol, The Special Rescue Squad, RESTOL SRS, 레스톨 특수 구조대"
Revenge Master's Sweetheart , ONA,," Comedy, Romance", 2019, Completed,
Revenger, Winter 2023 Anime," As master assassin Usui Yuen looks into a series of assassinations made on the grand samurai clan, the Satsuma, he encounters Kurima Raizo, member and survivor of one of the attacks. Together, they discover the true nature of these murders is bigger than over stolen resources. As they get closer to the truth, will they come out alive to exact revenge?"," Historical, Mystery, Samurai", 2023, Completed, REVENGER (リベンジャー)
Revenger (Dub), TV Series," As master assassin Usui Yuen looks into a series of assassinations made on the grand samurai clan, the Satsuma, he encounters Kurima Raizo, member and survivor of one of the attacks. Together, they discover the true nature of these murders is bigger than over stolen resources. As they get closer to the truth, will they come out alive to exact revenge?"," Action, Mystery", 2023, Ongoing, REVENGER (リベンジャー)
Revisions, ONA," ""This is a prophecy for you, where five people will meet huge adversaries, and only you can protect everyone."" Daisuke Toujima is a second-year high school student who was abducted when he was young. He was involved in a special phenomenon—Shibuya Drift—with his childhood friends Gai, Ru, Marimari, and Keisaku. They were transferred to the center of Shibuya over 300 years into the future. What's waiting for them is endless wilderness and forest, Interspersed ruin, future citizens, and ""Revisions"" which are huge mechanical monsters. Trampled by the monsters without understanding the situation, a girl who has the same name as the person who saved Daisuke when he was abducted, Miro, provided a mobile suit ""String Puppet"" and told them to save Shibuya. With separated paths, adversaries, destined prophecies, the boys, and girls are on their journey to return to their original time."," Action, Mecha, Sci-Fi", 2019, Completed, revisions リヴィジョンズ
Revisions (Dub), ONA," ""This is a prophecy for you, where five people will meet huge adversaries, and only you can protect everyone."" Daisuke Toujima is a second-year high school student who was abducted when he was young. He was involved in a special phenomenon—Shibuya Drift—with his childhood friends Gai, Ru, Marimari, and Keisaku. They were transferred to the center of Shibuya over 300 years into the future. What's waiting for them is endless wilderness and forest, Interspersed ruin, future citizens, and ""Revisions"" which are huge mechanical monsters. Trampled by the monsters without understanding the situation, a girl who has the same name as the person who saved Daisuke when he was abducted, Miro, provided a mobile suit ""String Puppet"" and told them to save Shibuya. With separated paths, adversaries, destined prophecies, the boys, and girls are on their journey to return to their original time."," Action, Mecha, Sci-Fi", 2019, Completed, revisions リヴィジョンズ
