name,Type,Plot Summary,Genre,Released,Status,Other name
L/R, TV Series," Jack Hofner and Rowe Rikenbacker are Cloud 7's L/R. Their job is to protect the Royal family of Ishtar, their treasures, and their reputation. Jack & Rowe face one of the toughest missions of their career when they are assigned to protect Noelle, a candidate for the 15 Year Princesse contest. It starts out simple, but soon all of Cloud 7 are involved in a web of intrigue that includes bombings, corruption and murder."," Action, Adventure, Mystery, Police", 2003, Completed," Licensed by Royalty, L/R -Licensed by Royal-"
L/R, TV Series," Jack Hofner and Rowe Rikenbacker are Cloud 7's L/R. Their job is to protect the Royal family of Ishtar, their treasures, and their reputation. Jack & Rowe face one of the toughest missions of their career when they are assigned to protect Noelle, a candidate for the 15 Year Princesse contest. It starts out simple, but soon all of Cloud 7 are involved in a web of intrigue that includes bombings, corruption and murder."," Action, Adventure, Mystery, Police", 0, Completed, L/R -Licensed by Royal-
La Corda D`Oro, TV Series, Plot Summary," Harem, Music, School, Shoujo", 2014, Completed, 金色のコルダ ～primo passo～
La Corda D`Oro ~Primo Passo Special, TV Series, Plot Summary," Comedy, Drama, Harem, Magic, Romance, School, Shoujo", 2006, Completed, 金色のコルダ ~primo passo~ ひと夏のアンコール
La Corda D’Oro Secondo Passo, TV Series, Plot Summary," Harem, Music, School, Shoujo", 2009, Completed, 金色のコルダ セコンド・パッソ
La Flora Go Go!! ASEAN, TV Series,, Comedy, 2016, Completed,
Labyrinth Of Flames (Dub), Movie," Meet Galan, a Russian spastic geek who`d do anything to be a real, live samurai. But that`s just an impossible dream... or is it? When his friend Natsu, who is a successor of Japanese emigrants family, gives him the gift of an ancient sword, strange events unfold, and even stranger people drop out of the sky to attack. Now Galan must overcome his ineptitude and join a bunch of beautiful women in a wacky romp through a kingdom that time forgot. Hey, what could be better?"," Adventure, Comedy, Ecchi, Samurai", 2000, Completed," Honoo no Labyrinth, 炎のらびりんす"
Ladies Versus Butlers, TV Series, Plot Summary," Comedy, Ecchi, Harem, Romance, School, Seinen", 2010, Completed, れでぃ×ばと!
Ladies Versus Butlers Special, TV Series, Plot Summary," Ecchi, Seinen", 2010, Completed," Ladies vs. Butlers!, Redei x Bato, れでぃ×ばと!"
Ladies versus Butlers! (Dub), TV Series," Hino Akiharu lost his parents when he was small and was adopted into his uncle's family. He didn't want to be a burden on his uncle's family and decides to enter a free boarding school as a butler, Hakureiryou high school. However, his delinquent boy-like appearance frightens the girls, who make up the majority of the students. Unable to get along with the classmates, Akiharu meets his childhood crush Saikyou Tomomi."," Comedy, Ecchi, Harem, Romance, School, Seinen", 2010, Completed, れでぃ×ばと!
Ladius, Movie," The future... urban civilisation has broken down; the crumbling tower blocks and great cities are sinking into ruin as greenery encroaches everywhere. Man's greed, though, is as active as ever, and for those who still have access to power armour and the other trapping of high technology, the new Holy Grail is an almost mythical source of energy locked in a vast underground complex. The beautiful and hot-tempered Yuta is the key..."," Action, Adventure, Mecha, Sci-Fi", 1987, Completed," Makyou Gaiden Le Deus, 魔境外伝レ・ディウス"
Lady Death, Movie,,, 0, Completed,
Lady Georgie, TV Series," An Australian farmer returns home from the woods with a baby named Georgie. The girl lives ignoring the terrible secret hidden in the golden bracelet on her hand. Her ""Father"" and Her ""brothers"", Abel and Arthur, love her dearly, but her ""mother"" considers her an intruder and doesn't manage to open her heart to the girl. Georgie grows up into a beautiful young girl, and both her ""brothers"" are deeply in love with her. Not knowing the truth, Georgie eventually falls in love with the handsome grandson of the British Governor. When Mother finally reveals the truth to her and condemns the girl for being an exile's daughter, Georgie leaves for Britain in search of her real parents - and for her love, who has also left Australia. Abel and Arthur follow her and the three are thrown into the cruel world of London aristocracy, lies and intrigues."," Drama, Historical, Romance, Shoujo", 1983, Completed," Joaninha, レディジョージィ"
Lady Jewelpet, Spring 2014 Anime," The story centers around Monona, a girl who attended the wedding ceremony of her big brother whom she adores. However, she is whisked away by a cute rabbit-shaped Jewelpet Ruby, and before she knew it, she is in a Jewelpalace where potential candidates to become a Lady have gathered. ""Momona was selected by Ruby as the best female Ladyjewel candidate for the Queen of Jewelland?!"""," Kids, Magic", 2014, Completed, レディ ジュエルペット
Lady Lady!! (1988), Movie," When Rin's mother dies, she makes the promise that some day she will become a Lady, and travels to England to meet the rest of the family. She is not very welcomed (specially at the start by her stepsister Sara), but after some time they are all a happy family. Rin (Lynn) is also very interested in horses and racing, and she wins a nice share of contests.This series is divided into two parts, first with Rin being really a child, and the second with her being around 13."," Drama, Shoujo", 1988, Completed, レディレディ!! (1988)
