name,Type,Plot Summary,Genre,Released,Status,Other name
Kuroko no Basket, Movie," An American street basketball team known as Jabberwock has come to Japan, and mocked the Japanese basketball players after their easy win. Coach Kagetora enlists the help of the only players who can defeat them"," School, Shounen, Sports", 2017, Completed, Gekijouban Kuroko no Basuke
Kuroko no Basket, TV Series," Bundled with the 6 Blu-ray/DVD. It will adapt the 124th chapter of the manga, which depicts when Kuroko and Aomine first met."," Comedy, School, Shounen, Sports", 2014, Completed, 黒子のバスケ 「もう一回やりませんか」
Kuroko no Basket, TV Series," A few weeks after the Winter Cup, the five players of the Generation of Miracles as well as Kuroko have settled back into everyday life. But an invitation from Momoi arrives, proposing that the former Teikō Junior High players gather once again and play a game. Kuroko happily accepts the unexpected invitation. But Kagami is bothered when he learns about the game, because on that day, the Seirin High team were planning a birthday party for Kuroko! However, Kagami tells Kuroko that the birthday party won't be until the evening, which makes him glad. So on January 31st, Kuroko's best day begins!"," Action, School, Shounen, Sports", 2015, Completed, 黒子のバスケ ~最高のプレゼントです~
Kuroko no Basuke 2, TV Series, Second Season of Kuroko no Baske.," Comedy, School, Shounen, Sports", 2013, Completed," Kuroko no Basket 2nd Season, 黒子のバスケ"
Kuromajo-san ga Tooru!!, TV Series," Chiyoko Kurotori is a 5th grader who loves the occult. One day, she tries to divine her friend’s “cupid,” but thanks to a stuffy nose summons a witch named Gyubid instead. From that day on, Gyyubid becomes Chiyoko’s magic instructor. She must learn to balance the grueling demands of her training with her normal school life."," Comedy, Magic, School, Slice of Life", 2012, Completed," Here Comes the Black Witch!!, 黒魔女さんが通る!!"
Kuromi's Pretty Journey, ONA," In the anime, Kuromi is traveling the world, searching for her missing older sister Romina. Throughout her journey, she gains companions, but also brushes up against evil organizations."," Adventure, Comedy, Kids", 2023, Completed,
Kuromukuro, Spring 2016 Anime," During the construction of the Kurobe Dam, an ancient artifact was discovered, and so the United Nations Kurobe Research Institute was established. Intellectuals from all over the world gathered to study the object, and the children of those researchers attend Mt. Tate International Senior High School, including the institute head's daughter, Yukina Shirahane. In the summer of 2016, a lone samurai once again awakens.", Mecha, 2016, Completed, クロムクロ
Kuromukuro (Dub), Spring 2016 Anime," During the dawn of the 21st century, the United Nations Kurobe Research Institute was established in Japan to investigate an ancient artifact, which was discovered during the construction of the Kurobe Dam. Scientists from around the world have gathered in the facility to study the object, while their children enjoy their everyday lives attending Mt. Tate International Senior High School.Yukina Shirahane, a reserved high school girl, is the daughter of the facility's head scientist. While visiting her mother at the facility, Yukina manages to solve part of the artifact's puzzle. To her surprise, what appears before her is Kennosuke Tokisada Ouma, a young samurai from the Sengoku era.As a threat approaches from outer space, Yukina, along with Kennosuke, finds herself defending Earth against the invading forces. Along the way, she discovers the mystery behind Kennosuke and the reason he is determined to protect her."," Action, Sci-Fi", 2016, Completed," Black Corpse, Black Relic, クロムクロ"
Kuroshitsuji, TV Series," In Victorian-era Europe, a young boy loses everything he once held near and dear to a vicious plot. In his moment of death, he strikes a deal with a demon"," Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural", 2008, Completed," Black Butler, 黒執事"
Kuroshitsuji (Dub), TV Series," In Victorian-era Europe, a young boy loses everything he once held near and dear to a vicious plot. In his moment of death, he strikes a deal with a demon"," Action, Comedy, Fantasy, Shounen, Supernatural", 2008, Completed," Black Butler, 黒執事"
Kuroshitsuji II (Dub), TV Series," In late-nineteenth century England, one year and three months after the dramatic conclusion of the original series, Kuroshitsuji II introduces a new butler and young master. The sadistic yet cheerful Alois Trancy has faced some harsh times. He was kidnapped as a baby, and was forced to work in a village as a slave. Gradually, he lost his parents, his best friend, and everyone he knew. Alois eventually returned home and became the head of his mansion, but seemed to exhibit some strange behavior ever since. Even more curiously, he returned with Claude Faustus, an enigmatic, emotionless butler with unfathomable talent..."," Action, Comedy, Demons, Fantasy, Shounen, Supernatural", 2010, Completed," Black Butler II, 黒執事II"
Kuroshitsuji II Specials (Dub), Special," According to the Kuroshitsuji website, there are 6 OVAs included in the DVD releases.DVD 2"," Fantasy, Shounen, Supernatural", 2010, Completed," Black Butler II Specials, 黒執事II"
Kuroshitsuji Movie, Movie,," Action, Comedy, Demons, Fantasy, Historical, Supernatural", 2017, Completed, Black Butler
Kuroshitsuji Movie, Movie," The young Earl Ciel Phantomhive—the Queen's Guard Dog—is once again called to investigate seemingly supernatural phenomena when news of miraculous resurrections begins to surface in Victorian London. Along with Sebastian Michaelis, his demon butler, they board the luxury cruise liner Campania to investigate rumors of the Aurora Society—a medical organization suspected of experimenting on the dead.Grim reapers begin to appear on the ship, and it becomes apparent that the ship is about to be overrun with the undead as a devious plan is put into motion. Ciel and Sebastian must now uncover the secrets that lie behind the Aurora Society's phoenix symbol, and with the help of some old acquaintances, return the undead to their coffins or share a watery grave."," Action, Comedy, Demons, Historical, Mystery, Shounen, Supernatural", 2017, Completed, Black Butler
Kuroshitsuji OVA, TV Series," One of the noble families of England – Phantomhive, has a butler, Sebastian Michaels. He has unquestionably perfect knowledge, manners, talent with materials. martial arts and much more. But for some reason, he serves a 12 year old master…"," Comedy, Demons, Fantasy, Shounen, Supernatural", 2008, Completed," Black Butler Special, 黒執事"
Kuroshitsuji Season 2, TV Series," In late-nineteenth century England, one year and three months after the dramatic conclusion of the original series, Kuroshitsuji II introduces a new butler and young master. The sadistic yet cheerful Alois Trancy has faced some harsh times. He was kidnapped as a baby, and was forced to work in a village as a slave. Gradually, he lost his parents, his best friend, and everyone he knew. Alois eventually returned home and became the head of his mansion, but seemed to exhibit some strange behavior ever since. Even more curiously, he returned with Claude Faustus, an enigmatic, emotionless butler with unfathomable talent..."," Action, Comedy, Demons, Fantasy, Shounen, Supernatural", 2010, Completed," Black Butler II, 黒執事II"
Kuroshitsuji Season 2 OVA, TV Series," One of the noble families of England – Phantomhive, has a butler, Sebastian Michaels. He has unquestionably perfect knowledge, manners, talent with materials. martial arts and much more. But for some reason, he serves a 12 year old master…"," Comedy, Demons, Fantasy, Shounen, Supernatural", 2010, Completed," Black Butler II Specials, 黒執事II"
Kuroshitsuji, Summer 2014 Anime," In Victorian London, the breathtaking performances of the Noah's Ark Circus have captured the attention of people all across the city. But the spell of magic and wonderment woven under the big top is not without consequences. Children have suddenly begun to vanish, and some suspect these mysterious performers are responsible. In an attempt to get to the bottom of these disturbing disappearances, the dashing duo of demon butler, Sebastian Michaelis, and his young master, Ciel Phantomhive, will infiltrate the circus and uncover whatever darkness may lie at its core!"," Comedy, Demons, Fantasy, Historical, Shounen, Supernatural", 2014, Completed, Black Butler
Kuroshitsuji,," Full of wonder and excitement, the Noah's Arc Circus troupe has captured audiences with their dazzling performances. Yet these fantastic acts don't come without a price. Children have mysteriously gone missing around London, correlating to that of the groups' movements. Unsettled by these kidnappings, Queen Victoria sends in her notorious guard dog, Ciel Phantomhive, and his ever-faithful demon butler, Sebastian Michaelis, on an undercover mission to find these missing children.Trying to balance their new circus acts with their covert investigation under the big top, however, proves to be quite a challenge. With the other performers growing suspicious and the threat of the circus' mysterious benefactor looming overhead, what the two discover will shake Ciel to his very core."," Comedy, Demons, Fantasy, Historical, Shounen, Supernatural", 0, Completed,
Kuroshitsuji, TV Series," At the Queen's behest, young master Ciel Phantomhive hosts a lavish banquet to be attended by the crème-de-la-crème of London's elite. What begins as a fabulous affair quickly takes a dark turn when guests begin turning up dead! Should Sebastian and Ciel wish to once more see the light of day, they must join forces with their guests, including the legendary author Sir Arthur Conan Doyle, to unravel the mystery – and apprehend the murderer before it's too late!"," Comedy, Demons, Fantasy, Shounen, Supernatural", 2015, Completed, Black Butler
Kuroshitsuji, OVA," At the behest of the Queen, Earl Ciel Phantomhive hosts a lavish dinner party attended by several of the finest members of polite society—as well as struggling author, Arthur. But as the party reaches its high, a terrible murder takes place and none other than the Earl himself is suspected of the crime.As a violent storm rages on outside, the death count continues to climb. The Phantomhive household and their eminent guests find they must cooperate in order to solve this mystery before they too fall prey to the mysterious murderer. However, it seems that not even the perfect butler, Sebastian Michaelis, is safe from this horror."," Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural", 2015, Completed, Black Butler
Kurozuka, TV Series," Kuro, a 12th-century man, flees into the mountains after losing to his brother, where he meets a strange, beautiful woman named Kuromitsu. Kuro falls in love with Kuromitsu but realizes she conceals a dark secret. She is unable to die and continues to live for thousands of years as Japan evolves into a future society."," Action, Drama, Historical, Horror, Romance, Sci-Fi, Vampire", 2008, Completed, 黒塚
Kurozuka (Dub), TV Series," Adaptation of Takashi Noguchi's manga, which itself adapts Baku Yumemakura's supernatural romance novel.The original novel is about a 12th-century man named Minamoto no Yoshitsune (Kurou). Kurou flees into the mountains after losing to his brother Minamoto no Yoritomo, the first Shogun to rule all of Japan. History records that he committed suicide, but instead, Kurou meets a strange, beautiful woman named Kuromitsu in her mountain hermitage. Eventually, Kurou falls in love with Kuromitsu, but then realizes she conceals a dark secret. He learns that he is unable to die and continues to live for a thousand years as Japan evolves into a future society."," Action, Drama, Historical, Horror, Romance, Sci-Fi, Vampire", 2008, Completed, 黒塚
Kuruneko, TV Series, Based on a manga about cats and their sake loving owner.," Comedy, Slice of Life", 2009, Completed," Kuru Neko, くるねこ"
Kusoge tte Iuna! Animation, ONA," The story centers on an RPG that people call ""kusoge"" (""crap-tier game,"" referring to games with quirky or badly implemented mechanics and design). The main character Lidays decides to change the game's story, meeting with other characters while the game isn't being played. But as they flub their lines, the situation spirals out of control.", Comedy, 2020, Completed," kusoge-tte iuna! Animation, Don't Call Us A JUNK GAME, クソゲーって言うな！アニメーション"
Kusuriya no Hitorigoto, TV Series," In an imperial court in ancient China, it has been a few months since a 17-year-old girl known as Maomao was kidnapped and forced to work as a low-level servant at the emperor's palace. Still, she manages to retain her curious and pragmatic spirit, planning to work until her years of servitude are over. One day, however, she catches wind of the fact that the emperor's two infants have fallen gravely ill. She decides to secretly take action, drawing on her experience as a pharmacist raised in the poor red-light district.Despite Maomao's attempts to remain anonymous, she soon catches the eye of Jinshi, an influential eunuch who recognizes her talents. Maomao soon finds herself in the emperor's inner court, where she gradually makes a name for herself by utilizing her knowledge and eccentric personality to solve various medical mysteries."," Drama, Mystery", 2023, Upcoming, The Apothecary Diaries;Drugstore Soliloquy ; 薬屋のひとりごと
Kuttsukiboshi OVA, TV Series," Kiiko is your normal girl, besides her secret of being able to move objects with her mind. When a new student named Aaya moves in, Kiiko starts to develop feelings toward her. The two will eventually then start their romantic relationship. Although everything seems fine, Kiiko does not know that Aaya has another secret, a secret that could ruin Kiiko’s feelings and trust for Aaya."," Drama, Magic, Romance, Shoujo Ai", 2010, Completed, くっつきぼし
Kuuchuu Buranko, TV Series," Irabu Ichiro is a psychiatrist who lives in a colorful alternate version of Tokyo. Patients would visit him to have a counseling on their problems. However each of the patients feel perplex about Ichiro’s behavior. Ichiro wears a bear head mask & is able to change change his appearance from an adult to a kid. Despite Ichiro’s zealous attitude, he does succeed in helping out each of the patients who come to his office."," Comedy, Drama, Psychological, Seinen", 2009, Completed," Welcome to Irabu's Office, 空中ブランコ"
Kuusen Madoushi Kouhosei no Kyoukan, Summer 2015 Anime," The story is set in a world where humanity, driven off the land by the threat of magical armored insects, now live in aerial floating cities. Thus wizards—aerial combat mages who fight the insects with magical powers—came into being.Kanata Age is a young man who lives on the floating wizard academy city of ""Misutogan."" He was once celebrated as the ""Black Master Swordsman,"" the elite ace of the S128 special team; however, he is now despised as the ""traitor of the special team."" One day, he is assigned as the instructor of E601, a team that has suffered ten consecutive defeats. E601 has three girls—Misora Whitale, Lecty Eisenach, and Rico Flamel—with one or two peculiar quirks."," Action, Drama, Fantasy, Magic, School", 2015, Completed," Sky Wizards Academy, 空戦魔導士候補生の教官"
Kuusen Madoushi Kouhosei no Kyoukan (Dub), TV Series," The story is set in a world where humanity, driven off the land by the threat of magical armored insects, now live in aerial floating cities. Thus wizards—aerial combat mages who fight the insects with magical powers—came into being.Kanata Age is a young man who lives on the floating wizard academy city of ""Misutogan."" He was once celebrated as the ""Black Master Swordsman,"" the elite ace of the S128 special team; however, he is now despised as the ""traitor of the special team."" One day, he is assigned as the instructor of E601, a team that has suffered ten consecutive defeats. E601 has three girls—Misora Whitale, Lecty Eisenach, and Rico Flamel—with one or two peculiar quirks."," Action, Drama, Fantasy, Magic, School", 2015, Completed," Sky Wizards Academy, 空戦魔導士候補生の教官"
Kuusen Madoushi Kouhosei no Kyoukan OVA, TV Series, Unaired episode bundled with the ninth light novel volume of Kuusen Madoushi Kouhosei no Kyoukan.," Action, Drama, Fantasy, Magic, School", 2016, Completed, 空戦魔導士候補生の教官
Kuusou Kagaku Sekai Gulliver Boy, TV Series," Gulliver, a boy born with the ability to use magic was forced against his will to attend a magician school to improve his abilities to protect his city. He manages to escape just to find out that his home town was destroyed by the evil Judau's army. Judau personally kills his father and oaths to kill Gulliver as well. Meanwhile Gulliver and his friend Eddison rescue a girl named Misty who is running away from Judau. Along with a fairy named Phoebe, a lone wolf ninja named Gecko and an ancient ship; Gulliver and his friends set out on an adventure to defeat Judau and to discover the secrets of Atlantis."," Action, Adventure, Fantasy, Mecha", 1995, Completed, 空想科学世界ガリバーボーイ
Kuutei Dragons, ONA," Dragons, the rulers of the sky. To many people on the surface, they are a dire threat, but at the same time, a valuable source of medicine, oil, and food. There are those who hunt the dragons. They travel the skies in dragon-hunting airships. This is the story of one of those ships, the “Quin Zaza,” and its crew."," Adventure, Fantasy, Seinen", 2020, Completed," Drifting Dragons, Airborne Dragons, 空挺ドラゴンズ"
Kuutei Dragons (Dub), ONA," Dragons, the rulers of the sky. To many people on the surface, they are a dire threat, but at the same time, a valuable source of medicine, oil, and food. There are those who hunt the dragons. They travel the skies in dragon-hunting airships. This is the story of one of those ships, the “Quin Zaza,” and its crew."," Adventure, Fantasy, Seinen", 2020, Completed," Drifting Dragons, Airborne Dragons, 空挺ドラゴンズ"
Kuzu no Honkai, Winter 2017 Anime," eventeen-year-old Mugi Awaya and Hanabi Yasuraoka appear to be the ideal couple. They are both pretty popular, and they seem to suit each other well. However, outsiders don't know of the secret they share. Both Mugi and Hanabi have hopeless crushes on someone else, and they are only dating each other to soothe their loneliness. Mugi is in love with Akane Minagawa, a young teacher who used to be his home tutor. Hanabi is also in love with a teacher, a young man who has been a family friend since she was little. In each other, they find a place where they can grieve for the ones they cannot have, and they share physical intimacy driven by loneliness. Will things stay like this for them forever?"," Drama, Romance, School, Seinen", 2017, Completed," Scum's Wish, クズの本懐"
