name,Type,Plot Summary,Genre,Released,Status,Other name
Sakura Taisen, OVA," Set after the time of Sakura Taisen 4 (game), Kanzaki Sumire, during a training session was noticed that her spirit power (rei-ryoku) has dropped tremendously, below levels required to pilot the Koubu-nishiki. She decides to retire from the Kageki-dan while she still holds the position of ""top star"" in the dai-teikoku gekijyou."," Adventure, Drama, Mecha, Sci-Fi, Shounen", 2002, Completed, Sakura Wars
Sakura Trick , Winter 2014 Anime," The story revolves around Haruka and Yuu, two girls who go to a high school that is slated to be shut down in three years. To share something special between them, they share a kiss, and their relationship deepens from that moment onward."," Comedy, Romance, School, Shoujo Ai, Slice of Life", 2014, Completed, 桜Trick
Sakura Wars, TV Series," Sakura travels to the capital with aspirations of defending the city from the demonic forces of the Black Sanctum Council like her father before her. However, things are not as she imagined as in addition to using her great spiritual energy to pilot a mech called a Kobu, she must also perform on stage as an actor as The Imperial Flower Division’s cover is an art theater.Making a fool of herself and ruining a production gets her on everyone’s bad side and somehow she must learn to work with them as well as prevent the enemy from destroying several shrines which protect the city. Genres"," Adventure, Mecha, Sci-Fi, Shounen", 2000, Completed," Sakura Taisen, サクラ大戦"
Sakura Wars , Movie," Since a new branch of division to New York has been created, Ohgami has now been assigned to the Paris Division. Now the Flower Division must be able to survive on their own, with the help of their new American-cultured leader."," Adventure, Mecha, Sci-Fi, Shounen", 2001, Completed, Sakura Taisen
Sakura Wars (Dub), TV Series," Sakura travels to the capital with aspirations of defending the city from the demonic forces of the Black Sanctum Council like her father before her. However, things are not as she imagined as in addition to using her great spiritual energy to pilot a mech called a Kobu, she must also perform on stage as an actor as The Imperial Flower Division's cover is an art theater. Making a fool of herself and ruining a production gets her on everyone's bad side and somehow she must learn to work with them as well as prevent the enemy from destroying several shrines which protect the city."," Action, Adventure, Comedy, Mecha, Sci-Fi, Shounen", 2000, Completed," Sakura Taisen, サクラ大戦"
Sakura Wars, OVA," The year is around the 1920's and the darkness of the demons have arrived. Now, only the people with large amounts of spirit energy can save the Earth. The Flower Division is now going to be sent out destroy the demons for they're our only hope for survival with their new steam-powered machines and unique fighting techniques."," Mecha, Sci-Fi, Shounen", 1997, Completed,
Sakura Wars, Movie," Since a new branch of division to New York has been created, Ohgami has now been assigned to the Paris Division. Now the Flower Division must be able to survive on their own, with the help of their new American-cultured leader."," Adventure, Mecha, Sci-Fi, Shounen", 2001, Completed, Sakura Taisen
Sakura-sou no Pet na Kanojo (Dub), TV Series," When abandoned kittens and his good conscience force second year Sorata Kanda to move into Suimei High School’s infamous Sakura Hall, the satellite dorm and its eccentric, misfit residents turn his life upside down. The decidedly average Sorata finds it difficult to fit in with the bizarre collection of dorm residents like Misaki, an energetic animator; Jin, a playwright playboy; Ryuunosuke, a reclusive programmer; and Chihiro, the dorm manager, art teacher, and party girl.Sorata's friend Nanami, a second year student and aspiring voice actress, pushes him to find new owners for the many cats so that he can quickly move back into the regular dorms. However, his desire to escape Sakura Hall wavers when the pet-like and infantile second year Mashiro Shiina, a world-class artistic savant looking to become a mangaka, transfers in during the spring trimester and quickly latches onto him.Supported by each other's quirks, Sorata and Mashiro come out of their shells and trigger change in the lives of those around them. Based on the light novel series of the same name, Sakurasou no Pet na Kanojo explores the fine threads connecting talent, hard work, romance, and friendship with its ensemble cast."," Comedy, Drama, Romance, School, Slice of Life", 2012, Completed," Sakurasou no Pet na Kanojo, The Pet Girl of Sakurasou, さくら荘のペットな彼女"
Sakurada Reset, Spring 2017 Anime," Nearly half the population of Sakurada, a small town near the Pacific Ocean, has some sort of unique power. These powers range from being able to enter the mind of a cat, to resetting the world back to a certain point in time in the past. There is a group known as the ""Kanrikyoku"" that controls and monitors the use of these powers. Asai Kei and Haruki Misora work for their school's club called ""Houshi"" club, which execute any missions received from the Kanrikyoku. Misora has the ability to reset the world 3 days. This means that all events and any memory of the past 3 days that ""could have"" happened, never happened. Kei has the ability to ""remember"" the past. Even after Misora uses her powers to reset the world back 3 days, Kei will retain those 3 days in his memory. Combining their powers, these two solve missions issued by the Kanrikyoku."," Mystery, School, Super Power, Supernatural", 2017, Completed," Sagrada Reset, サクラダリセット"
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru, Fall 2015 Anime," Shoutarou Tatewaki, a high schooler living in Asahikawa City, Hokkaido, meets Sakurako Kujou, a bone-loving ojou-san who has an ability to analyze specimen. Because of meeting her, he has to accompany her to various cases.", Mystery, 2015, Completed," Beautiful Bones -Sakurako's Investigation-, 櫻子さんの足下には死体が埋まっている"
Sakurasou no Pet na Kanojo, TV Series," The school romantic comedy revolves around a second-year high school student named Sorata Kanda who lives in Sakurasou, the dormitory for problem children at Sorata’s school.One day, Mashiro Shiina – a cute girl who happens to be also a cosmopolitan, brilliant artist – moves into Sakurasou. Sorata thinks to himself that he should protect Mashiro from the weirdos at Sakurasou, but Mashiro has a surprising secret"," Comedy, Drama, Romance, School", 2012, Completed," The Pet Girl of Sakurasou, さくら荘のペットな彼女"
