name,Type,Plot Summary,Genre,Released,Status,Other name
s-CRY-ed, TV Series," A strange environmental phenomenon 22 years ago in the Kanazawa prefecture caused the land to split and protrude upwards reaching unprecedented heights, creating the secluded area known as The Lost Ground. Kazuma is a young mercenary who lives in the Lost Ground, looking for any work he can find to sustain his livelihood within the harsh environmen… more A strange environmental phenomenon 22 years ago in the Kanazawa prefecture caused the land to split and protrude upwards reaching unprecedented heights, creating the secluded area known as The Lost Ground. Kazuma is a young mercenary who lives in the Lost Ground, looking for any work he can find to sustain his livelihood within the harsh environment.He is one of the few people that are gifted with the Alter ability, which allows him to plaster his right arm and torso with a metallic alloy. When this mercenary encounters HOLY, an order whose purpose is to suppress and capture what they call Native Alter Users, and one of the elite members of HOLY, Ryuho, an epic rivalry begins."," Action, Adventure, Sci-Fi, Shounen, Super Power", 2001, Completed," s.CRY.ed, スクライド"
s.CRY.ed Alteration I, Movie, Special recap of s.CRY.ed to commemorate the 10th anniversary of the anime; featuring digital remastering and some new footage.," Action, Adventure, Sci-Fi, Shounen, Super Power", 2011, Completed, スクライド オルタレイション 前編 ＴＡＯ
s.CRY.ed Alteration II, Movie, Second part of the s.CRY.ed recap.," Action, Adventure, Sci-Fi, Shounen, Super Power", 2012, Completed, スクライド オルタレイション 後編 ＱＵＡＮ
Saa Ikou! Tamagotchi, TV Series," Let's Go! Tamagotchi is an anime series focusing on the lives of Mametchi, Memetchi, Kuchipatchi, ChaMametchi, and their friends. The series premiered in Japan in December 2007, while an English dub was uploaded by Bandai in December 2008. It was originally uploaded a week before the release of the first movie in Japanese.", Kids, 2007, Completed," Saa Ikoo! Tamagotchi, Let's Go! Tamagotchi, さぁイコー！たまごっち"
Saa Ikou! Tamagotchi (Dub), TV Series," Let's Go! Tamagotchi is an anime series focusing on the lives of Mametchi, Memetchi, Kuchipatchi, ChaMametchi, and their friends. The series premiered in Japan in December 2007, while an English dub was uploaded by Bandai in December 2008. It was originally uploaded a week before the release of the first movie in Japanese.", Kids, 2007, Completed," Saa Ikoo! Tamagotchi, Let's Go! Tamagotchi, さぁイコー！たまごっち"
Sabagebu!, Summer 2014 Anime," Middle school girl Momoka is dragged into joining one of the strangest associations at her school, the Survival Game Club. Its members participate in various forms of paramilitary training under the watchful eye of charming and alarming president, Miou. How on Earth will the inexperienced Momoka survive her training, let alone Miou's company?!"," Action, Comedy, Military, Shoujo", 2014, Completed," Sabagebu! -Survival Game Club!-, さばげぶっ!"
Sabagebu! Specials, Special, Short OVA bundled with the volumes 1 to 6 of the Blu-ray releases of Sabagebu!," Action, Comedy, Military, Shoujo", 2014, Completed, さばげぶっ！OVA SPECIAL MISSION
Saber Marionette J , TV Series," In a world of only males, they have created female looking marionettes (androids). A handful of them have been given special ‘hearts’ called maiden circuits that give them emotion and human personality. Three of these are found by Otaru, and they soon are caught up in a war against Lord Faust and his 3 ‘human’ marionettes."," Action, Adventure, Comedy, Drama, Harem, Martial Arts, Mecha, Romance, Sci-Fi, Shounen", 1996, Completed, セイバーマリオネットJ
Saber Marionette J (Dub), TV Series," In the distant future, since the Earth has become overpopulated, efforts to find and colonize on other planets have begun. However, one of the ships, the ""Mesopotamia"" malfunctions and all but 6 of its inhabitants are all killed. the remaining 6 manage to escape to a nearby planet named ""Terra ll "", which is similar to Earth in many respects. However, all of them are male. Therefore, as to not let their efforts go to waste, they begin to set up 6 countries and to reproduce through cloning and genetic engineering. however, there are still no women, and to make up for it they create lifelike advanced female androids called ""Marionettes"" which do everyday chores and work. However, they are all emotionless machines. But one day, a ordinary boy named Otaru finds and awakens 3 special battle type Marionettes that have emotions due to a ""Maiden Circuit"" within them. It's up to him then to teach them and allow their emotions to grow, and when a nearby country threatens with world domination, it's up to to Otaru and his ""human"" Marionettes to protect their country."," Action, Adventure, Comedy, Drama, Harem, Martial Arts, Mecha, Romance, Sci-Fi, Shounen", 1996, Completed, セイバーマリオネットJ
Saber Marionette J Again , TV Series," In a world of only males, they have created female looking marionettes (androids). A handful of them have been given special ‘hearts’ called maiden circuits that give them emotion and human personality. Three of these are found by Otaru, and they soon are caught up in a war against Lord Faust and his 3 ‘human’ marionettes."," Action, Comedy, Mecha, Romance, Sci-Fi", 1997, Completed, Mata Mata Saber Marionette J; またまたセイバーマリオネットＪ
